"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,519.95,539.754,559.308,578.386,597.936,615.734,635.196,654.412,671.322,690.226,707.174,724.952,742.732,760.914,777.246,794.868,809.566,827.648,844.072,861.478,874.702,892.822,907.212,921.958,939.312,951.888,967.212,981.18,995.012,1010.434,1025.134,1039.146,1051.028,1064.852,1077.852,1089.462,1103.782,1116.638,1128.554,1139.598,1151.086,1163.024,1174.808,1186.388,1196.63,1209.094,1220.06,1229.692,1240.278,1249.154,1259.766,1269.728,1278.874,1287.34,1297.468,1306.67,1316.928,1324.152,1331.944,1339.01,1347.894,1355.448,1364.164,1369.872,1377.242,1383.78,1390.586,1396.506,1403.388,1409.956,1414.582,1421.54,1426.504,1432.116,1437.136,1442.642,1447.342,1451.318,1455.6,1460.06,1463.906,1467.204,1471.076,1474.456,1477.334,1480.148,1482.656,1485.988,1487.674,1489.65,1491.99,1493.638,1494.812,1496.582,1497.412,1498.474,1499.05,1499.518,1499.898,1500
3,362.823,390.789,420.363,446.022,476.403,503.856,529.392,554.802,578.466,604.452,627.525,649.962,674.907,695.736,718.245,740.085,760.167,781.188,802.035,818.274,837.93,857.193,874.494,892.878,911.127,927.03,942.681,957.786,975.801,988.641,1003.086,1015.653,1029.621,1044.675,1057.842,1067.865,1083.114,1095.084,1104.768,1116.357,1127.817,1135.602,1146.531,1155.003,1165.266,1172.394,1182.903,1191.324,1199.475,1207.083,1214.955,1222.119,1227.735,1234.227,1241.64,1246.587,1252.653,1257.807,1263.054,1266.648,1272.621,1276.665,1281.309,1284.315,1288.467,1292.34,1295.787,1299.327,1302.171,1305.387,1307.466,1309.905,1312.005,1314.099,1315.866,1317.984,1319.556,1321.218,1322.763,1323.924,1325.199,1326.036,1327.02,1327.977,1328.658,1329.249,1329.801,1330.233,1330.662,1330.932,1331.277,1331.493,1331.637,1331.784,1331.838,1331.943,1331.979,1331.985,1332,1332
4,289.388,327.94,364.9,400.68,434.084,470.012,502.892,535.248,565.144,594.596,620.72,650.2,677.824,702.692,727.188,751.228,772.804,796.308,820.456,839.464,861.372,880.796,897.716,913.592,933.768,948.864,966.076,980.536,995.364,1010.132,1023.268,1034.452,1048.144,1058.172,1070.924,1082.516,1091.768,1102.028,1109.992,1119.688,1126.428,1135.088,1144.072,1150.864,1156.24,1164.092,1170.136,1175.648,1182.564,1187.544,1192.472,1197.188,1200.388,1205.948,1209.088,1211.892,1215.788,1218.704,1221.608,1224.772,1226.8,1229.392,1231.072,1233.056,1234.632,1236.536,1237.904,1239.648,1240.9,1241.696,1242.512,1243.604,1244.496,1245.236,1246.208,1246.596,1247.064,1247.392,1248.04,1248.496,1248.74,1248.98,1249.164,1249.348,1249.492,1249.62,1249.72,1249.776,1249.872,1249.92,1249.96,1249.968,1249.96,1249.988,1249.992,1249.996,1250,1250,1250,1250
5,249.215,295.87,342.91,382.74,426.285,465.95,503.185,540.45,575.3,608.04,637.63,672.8,700.205,729.69,756.73,782.03,804.25,827.245,851.44,872.67,893.405,913.245,927.63,945.69,961.775,977.77,991.675,1006.43,1019.82,1031.53,1043.11,1054.27,1064.555,1073.56,1082.915,1092.175,1099.095,1108.185,1114.365,1121.365,1128.11,1134.96,1139.75,1144.105,1148.335,1153.715,1157.305,1161.24,1165.215,1168.525,1170.925,1174.42,1177.415,1179.065,1180.765,1183.62,1184.635,1186.725,1188.46,1189.615,1191.005,1191.83,1192.91,1194.03,1194.745,1194.925,1196.04,1196.5,1197.325,1197.635,1197.635,1198.125,1198.655,1198.795,1199.04,1199.285,1199.46,1199.46,1199.53,1199.61,1199.71,1199.855,1199.85,1199.91,1199.925,1199.94,1199.96,1199.955,1199.98,1199.985,1199.99,1199.995,1200,1200,1200,1200,1200,1200,1200,1200
6,222.964,279.73,330.208,382.186,430.384,475.414,517.486,556.384,594.43,630.742,667.522,697.204,729.19,758.254,784.57,811.102,834.7,860.212,881.428,899.032,919.48,935.968,953.728,969.226,985.048,996.946,1009.606,1023.382,1034.482,1044.706,1054.342,1062.064,1071.928,1077.166,1086.478,1093.24,1099.642,1104.226,1110.142,1115.062,1120.078,1123.192,1127.29,1131.238,1134.808,1137.31,1139.602,1142.428,1144.234,1146.982,1147.924,1149.502,1150.84,1152.376,1153.936,1154.362,1155.286,1156.534,1157.026,1157.71,1158.388,1158.676,1159.246,1159.78,1160.098,1160.392,1160.542,1160.878,1161.082,1161.334,1161.334,1161.49,1161.61,1161.664,1161.61,1161.766,1161.898,1161.904,1161.91,1161.928,1161.934,1161.976,1161.976,1161.988,1162,1161.988,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162
7,209.767,270.366,332.799,387.7,442.58,490.607,537.5,582.769,622.081,659.125,693.201,728.033,759.407,786.14,816.59,842.056,865.758,885.554,909.347,928.002,943.773,958.963,973.691,988.335,1004.085,1013.563,1025.596,1034.507,1045.259,1054.282,1060.33,1068.282,1074.82,1081.225,1086.328,1091.557,1097.332,1101.434,1105.018,1107.86,1111.059,1113.026,1116.022,1118.213,1120.397,1122.357,1124.086,1125.892,1127.222,1128.23,1129.021,1130.106,1131.205,1131.597,1132.353,1132.871,1133.172,1133.459,1134.033,1134.306,1134.705,1134.873,1135.006,1135.181,1135.363,1135.468,1135.566,1135.622,1135.776,1135.818,1135.895,1135.874,1135.881,1135.909,1135.916,1135.951,1135.979,1135.979,1135.993,1135.979,1136,1135.986,1136,1136,1136,1136,1136,1136,1135.993,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
8,201.976,273.88,342.568,402.6,461.464,512.32,566.512,606.152,651.512,692.824,729.496,760.016,796.864,822.584,852.208,874.304,897.152,915.832,938.032,955.512,971.944,986.392,1000.136,1013.08,1023.664,1033.184,1044.44,1053.576,1059.096,1068.184,1071.88,1078.312,1083.544,1088.248,1092.56,1096.656,1099.224,1102.632,1105.072,1107.736,1109.512,1111.472,1114.192,1115.208,1116.496,1117.624,1118.096,1119.312,1120.184,1121.096,1121.832,1122.256,1122.44,1123.072,1123.112,1123.584,1123.656,1124.056,1124.168,1124.344,1124.376,1124.624,1124.624,1124.744,1124.792,1124.848,1124.848,1124.896,1124.904,1124.952,1124.976,1124.976,1124.96,1124.968,1124.992,1124.976,1124.992,1125,1124.992,1125,1125,1124.992,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
9,199.209,276.249,350.445,415.677,483.015,536.412,584.382,636.609,682.455,721.002,759.684,791.607,822.198,851.07,880.509,900.183,921.918,939.936,956.559,974.316,988.635,1002.864,1013.313,1022.268,1035.795,1043.373,1049.853,1057.818,1063.722,1069.482,1073.811,1077.825,1082.622,1085.808,1089.093,1091.631,1094.097,1096.869,1098.579,1100.199,1101.711,1102.026,1103.232,1104.177,1105.185,1105.788,1106.499,1107.048,1107.687,1107.813,1108.353,1108.74,1108.812,1109.091,1109.235,1109.388,1109.478,1109.577,1109.712,1109.766,1109.757,1109.784,1109.892,1109.937,1109.955,1109.928,1109.955,1110,1109.973,1109.964,1109.982,1109.991,1109.991,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
10,194.96,282.1,362.34,432.75,497.01,562.78,611.96,662.31,710.16,749.94,787.86,817.82,848.82,877.63,903.29,922.3,941.18,961.79,978.57,990.62,1004.98,1016.56,1026.68,1034.69,1043.14,1049.92,1056.07,1062.71,1065.54,1072.32,1075.11,1077.51,1081.7,1084.26,1086.4,1088.74,1090.35,1091.63,1092.76,1094.22,1094.69,1095.27,1096.17,1096.58,1097.3,1097.89,1098.33,1098.57,1098.85,1099.04,1099.25,1099.38,1099.36,1099.52,1099.63,1099.76,1099.8,1099.8,1099.86,1099.89,1099.94,1099.95,1099.99,1099.91,1099.93,1099.98,1099.98,1100,1100,1100,1100,1099.98,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
11,192.102,287.967,369.95,446.796,518.571,580.853,634.445,685.155,726.086,767.732,805.957,834.282,865.764,888.721,913.383,932.721,948.737,964.94,982.771,993.342,1003.913,1015.21,1022.316,1030.445,1036.165,1042.787,1047.187,1053.501,1056.229,1060.266,1062.587,1065.48,1067.229,1069.704,1071.332,1072.751,1073.906,1074.753,1075.545,1076.458,1077.041,1077.371,1077.69,1078.031,1078.372,1078.988,1078.999,1079.34,1079.318,1079.428,1079.538,1079.637,1079.802,1079.769,1079.813,1079.78,1079.912,1079.945,1079.923,1079.956,1079.967,1079.956,1080,1079.967,1079.978,1080,1079.989,1080,1080,1079.989,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
12,197.252,298.208,386.048,470.888,539.084,598.28,658.004,709.052,752.168,793.58,830.252,861.86,892.148,914.024,936.908,956.552,971.372,984.776,998.288,1009.34,1019.852,1028.252,1033.148,1042.004,1047.128,1051.244,1055.216,1058.84,1062.8,1064.144,1067.384,1068.668,1070.684,1071.212,1073.324,1074.332,1074.8,1075.736,1076.372,1076.72,1077.116,1077.512,1077.812,1078.088,1078.16,1078.268,1078.556,1078.7,1078.748,1078.748,1078.82,1078.736,1078.892,1078.928,1078.928,1078.88,1078.988,1078.988,1078.976,1079,1078.988,1078.976,1079,1079,1078.988,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079
13,197.628,300.237,399.219,483.095,556.116,620.271,678.537,725.246,773.541,812.567,842.779,879.114,899.953,923.054,943.815,958.245,972.493,988.145,998.987,1008.1,1017.863,1023.83,1030.616,1034.854,1040.132,1044.331,1046.944,1049.596,1051.546,1054.133,1055.381,1056.551,1058.384,1059.346,1059.788,1060.88,1061.569,1062.141,1062.297,1062.648,1062.895,1063.103,1063.363,1063.493,1063.532,1063.571,1063.714,1063.805,1063.87,1063.779,1063.87,1063.987,1063.948,1063.974,1063.961,1063.987,1063.987,1064,1064,1063.987,1064,1064,1063.987,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064
14,202.264,315.552,412.894,499.582,578.528,645.826,701.644,752.954,797.936,836.394,864.394,897.728,920.198,941.618,960.644,976.898,989.876,1001.412,1011.31,1021.096,1026.864,1033.038,1038.736,1043.384,1047.472,1050.062,1051.994,1053.94,1057.23,1057.804,1058.588,1059.96,1061.01,1061.332,1062.732,1063.138,1063.39,1063.866,1064.216,1064.216,1064.608,1064.426,1064.524,1064.734,1064.692,1064.79,1064.832,1064.846,1064.902,1064.916,1064.972,1064.944,1064.944,1064.986,1064.986,1064.986,1065,1065,1064.986,1065,1064.986,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065
15,207.165,326.16,424.665,516.75,591.27,663.6,720.57,768.045,812.235,849.585,879.225,907.62,931.425,951.225,968.97,980.445,994.245,1004.49,1013.25,1020.24,1026.09,1031.22,1035.39,1038.99,1041.645,1044.96,1046.88,1048.035,1050.27,1051.155,1052.475,1052.925,1053.63,1054.05,1054.38,1055.04,1054.98,1055.265,1055.415,1055.55,1055.61,1055.835,1055.64,1055.775,1055.865,1055.88,1055.94,1055.925,1055.925,1055.955,1056,1055.97,1056,1056,1055.985,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056
16,209.52,332.64,443.04,534.176,616.112,680.24,739.968,792.4,832.688,867.456,897.696,924.064,945.248,963.824,981.376,992.704,1002.32,1011.088,1018.064,1025.04,1029.872,1034.288,1038.192,1040.576,1043.408,1045.824,1046.672,1048.48,1049.28,1050.624,1051.312,1052.224,1052.208,1052.752,1052.928,1052.96,1053.28,1053.344,1053.616,1053.6,1053.664,1053.808,1053.792,1053.84,1053.968,1053.952,1053.936,1053.984,1053.984,1053.952,1054,1054,1054,1054,1054,1053.984,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054
17,209.997,340.965,454.933,550.847,629.897,693.783,754.371,803.637,842.329,879.253,903.461,931.936,947.185,965.392,980.573,991.351,1000.089,1009.728,1015.984,1020.982,1024.926,1030.162,1032.032,1034.31,1035.959,1037.642,1038.985,1040.09,1040.974,1041.909,1042.3,1042.725,1042.64,1042.98,1043.167,1043.354,1043.626,1043.745,1043.728,1043.881,1043.915,1043.915,1043.949,1043.983,1043.966,1043.983,1043.966,1044,1043.915,1044,1043.983,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
18,217.738,356.86,467.308,569.854,643.852,715.924,772.246,823.402,861.688,890.866,922.942,941.338,963.154,978.976,989.542,1003.24,1009.45,1017.55,1022.536,1026.514,1029.214,1033.57,1035.712,1037.836,1038.826,1040.248,1041.382,1042.192,1042.876,1043.452,1043.56,1043.992,1044.19,1044.37,1044.676,1044.694,1044.694,1044.784,1044.784,1044.856,1044.928,1044.946,1044.982,1044.946,1045,1045,1044.964,1045,1045,1045,1045,1044.982,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045
19,224.653,362.707,488.354,577.863,667.714,724.22,788.098,835.484,874.7,904.074,931.301,951.745,966.565,983.019,992.538,1004.356,1011.652,1015.756,1022.064,1024.591,1028.391,1030.595,1032.628,1034.547,1035.953,1036.713,1037.644,1038.081,1038.081,1038.67,1039.24,1039.202,1039.392,1039.563,1039.734,1039.867,1039.867,1039.924,1039.905,1039.962,1039.962,1039.962,1039.905,1040,1039.981,1040,1040,1040,1039.981,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
20,226.9,376.98,503.02,603.34,689.68,757.66,809.64,858.92,893.08,927.68,950,972.38,986.12,999.26,1010.24,1017.88,1025.16,1030.04,1034.64,1037.86,1040.86,1043.66,1044.58,1045.28,1047.08,1047.38,1047.66,1048.5,1048.82,1049.14,1049.36,1049.42,1049.58,1049.64,1049.74,1049.82,1049.84,1049.86,1049.94,1049.92,1050,1050,1049.98,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
21,229.049,390.833,512.549,613.79,695.123,759.383,811.883,863.963,895.19,923.057,947.396,965.435,979.379,992.945,1000.085,1006.49,1013.483,1017.746,1021.463,1025.222,1025.873,1027.952,1029.695,1030.913,1031.27,1032.173,1032.614,1032.74,1032.971,1033.307,1033.601,1033.685,1033.769,1033.937,1033.79,1033.853,1034,1034,1033.958,1033.958,1034,1033.958,1033.979,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034
22,245.354,395.636,520.112,630.882,706.716,776.852,826.704,875.412,903.506,933.602,954.722,971.596,987.194,997.688,1007.104,1013.506,1018.808,1022.24,1024.924,1026.882,1029.808,1030.71,1031.898,1032.404,1032.866,1033.46,1033.988,1034.098,1034.428,1034.604,1034.604,1034.714,1034.868,1034.89,1034.934,1034.934,1035,1034.956,1035,1035,1034.978,1035,1034.956,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035
23,245.124,408.631,535.545,640.172,722.581,789.856,839.996,883.489,916.908,940.828,961.183,978.916,988.231,997.638,1008.08,1011.944,1018.338,1021.121,1023.881,1025.077,1027.561,1028.619,1029.171,1030.16,1030.551,1031.08,1031.402,1031.31,1031.724,1031.839,1031.816,1031.839,1031.839,1031.954,1031.885,1031.931,1031.977,1032,1032,1031.977,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
