"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,52.28,54.74,55.28,57.8,59.58,62.64,62.7,64.64,66.44,70.22,72.32,73.2,74.88,75.86,78.22,78.52,80.86,83.14,84.04,84.32,86.6,88.64,91.48,92.58,93.92,96.08,94.82,98.08,100.04,101.38,100.96,103.16,105.7,107.7,108.02,107.98,111.86,110.1,112,111.48,114.78,116.44,117.54,118.08,119.42,119.64,120.9,124.2,123.6,123.96,124.62,126.78,126.74,128.52,129.2,131.18,131.62,132.16,132.78,134.14,133.54,134.72,135.58,137.32,137.84,138.34,138.62,139.1,138.94,140.32,141.78,142.58,142.66,142.64,143.12,143.66,145.14,144.86,145.68,146.06,146.12,146.76,147.22,147.9,147.36,148.14,148.18,148.62,148.9,148.86,149.14,149.26,149.5,149.54,149.66,149.8,149.94,149.9,150,150
3,36.18,38.46,42.3,44.34,47.58,48.78,51,54.63,58.59,61.23,63.3,64.59,67.08,70.47,72.39,72.3,73.92,75.99,78.75,80.94,81.81,85.59,84.03,87.9,88.41,91.35,92.49,94.74,95.91,96.03,99.21,100.83,101.01,101.79,102.15,104.01,108,109.17,109.38,110.67,111.06,112.32,113.73,113.07,115.5,116.97,117.12,115.71,118.2,120.3,120.3,121.23,121.62,121.8,122.97,122.61,123.9,123.84,125.46,125.34,125.28,126.39,126.84,127.71,127.14,127.68,127.38,128.64,128.82,129.24,129.3,130.02,129.24,129.9,130.65,130.71,130.68,131.22,131.1,131.07,131.01,131.55,131.43,131.61,131.34,131.58,131.7,131.79,131.82,131.88,131.94,131.94,131.88,131.94,131.91,132,132,132,132,132
4,29.24,32.36,37.12,39.44,43.72,46.12,52.32,53.28,55.76,58.16,60.44,65.08,68.76,71.52,72.84,76.8,75.4,76.96,80.4,84.16,84.44,87.56,90.12,92.04,93.4,94.32,96.48,98.96,101.04,101.12,101.88,104.08,103.52,104.44,105.96,107.8,109,108.92,110.08,110.36,110.8,112.24,114.68,114.72,116.28,115.8,117.44,117.76,118.12,118.68,118.32,119.08,119.28,120.48,120.36,122.36,121.48,121.68,122.16,122.08,123.04,122.32,122.52,122.92,123.52,123.76,123.52,123.76,124.04,124.36,124.2,124.32,124.52,124.48,124.36,124.76,124.72,124.72,124.68,124.68,124.88,124.96,124.96,124.96,124.96,125,125,124.96,124.96,124.96,125,124.96,124.96,125,125,125,125,125,125,125
5,25.55,28.45,33.85,37.95,41.65,47.45,51.45,52.9,58.05,58.75,63.85,64,70.7,72.8,73.3,77,79.55,84.8,86.1,90.4,88.65,91.6,93.2,92.05,96.2,95.3,98.05,98.95,102.4,102.75,102.85,105,105.8,106.2,107.65,108.75,109.3,111.1,111.65,112.25,113.45,113.3,113.25,114,115.15,114.4,115,115.3,116.05,116.9,117.2,117.1,116.5,117.95,117.8,118.05,117.85,118.4,118.75,119.45,118.9,118.95,118.8,119.5,119.25,119.5,119.25,119.4,119.9,119.65,119.5,119.6,119.75,119.65,119.85,119.95,119.95,119.85,119.9,119.95,120,119.95,120,120,120,119.95,120,120,120,120,120,120,120,120,120,120,120,120,120,120
6,20.86,25.9,31.24,36.22,41.68,46.24,47.44,53.14,55.96,58.6,63.52,65.98,70.84,71.14,77.5,78.76,78.7,79.36,84.4,84.76,86.8,87.88,90.28,93.46,91.54,96.58,96.1,97.96,98.14,99.4,100.84,101.32,103.06,104.38,103.72,103.78,104.26,104.38,107.08,106.96,107.32,107.14,109.42,108.28,109.12,108.52,110.02,109.9,110.08,110.86,110.44,110.14,110.86,111.16,110.98,111.04,111.22,111.64,111.7,111.28,111.58,111.52,111.4,111.76,111.88,111.94,111.76,112,111.82,112,111.94,112,111.94,112,111.94,111.94,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
7,20.58,26.32,31.99,36.47,41.44,44.87,51.8,54.6,59.5,63.21,69.65,71.61,75.39,77.42,79.24,81.83,81.69,86.24,88.76,89.6,89.81,94.29,96.6,96.32,98.49,98,100.59,100.8,102.55,104.3,104.3,104.23,105.98,105.7,106.19,108.22,108.01,108.92,107.87,109.41,109.55,109.76,110.18,110.11,110.18,110.25,110.6,111.02,111.37,111.3,111.44,110.95,111.16,111.51,111.72,111.44,111.86,111.58,111.65,111.72,111.86,111.79,111.93,111.86,111.93,111.86,111.86,112,112,111.93,112,112,112,111.93,112,112,112,112,112,111.93,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
8,20,27.44,32.32,37.36,42.72,50.48,52.4,56.64,58.24,69.28,70.88,67.04,76.88,77.28,83.2,83.2,85.2,87.2,86.4,91.84,92.88,93.44,93.28,96.24,96.72,97.2,99.84,100.4,100,101.6,102.24,102.96,103.6,104.8,104.48,105.12,104.96,105.68,106.24,106.48,106.16,106.64,107.04,106.88,107.36,106.48,106.88,107.28,107.52,107.12,107.76,107.76,107.44,107.76,107.92,107.6,107.92,107.84,107.84,107.84,107.92,108,108,108,107.92,107.92,107.92,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
9,21.71,28.1,31.97,38,47.18,54.38,54.74,60.77,65.63,72.29,70.94,76.07,82.91,83.27,85.34,89.03,89.75,93.35,94.07,94.7,97.31,98.21,99.92,99.38,101.9,102.08,102.44,104.15,104.51,104.6,107.3,106.94,107.03,107.12,107.66,108.02,107.84,108.38,108.65,108.83,109.28,109.01,108.92,109.28,109.64,109.37,109.28,109.55,109.46,109.91,110,109.82,109.82,109.91,109.91,109.91,110,110,109.73,109.91,110,109.73,109.91,110,109.91,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
10,19.7,28.5,30.8,48.3,43.7,52.9,59.2,69,69.8,72.8,75.7,79.1,80.8,87.1,88.8,90.7,90,94.7,95.5,98.1,98.5,101.1,103.2,102.2,102.2,104.6,105.6,105,106.2,107.4,107.5,107.6,107.7,108.5,107.9,108.4,108.7,109,109.2,109,109.2,109.7,109.8,109.6,109.7,109.5,110,109.6,109.8,110,109.9,110,109.9,109.8,110,109.9,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
11,17.36,28.14,36.17,40.13,48.27,56.74,62.02,68.84,70.93,76.76,77.42,82.81,85.01,85.01,90.18,90.07,92.6,94.36,97.66,98.32,97.22,100.41,102.61,102.5,103.82,103.93,105.36,105.36,105.25,105.25,105.25,107.12,106.13,107.34,107.34,106.9,107.67,107.67,107.67,107.23,107.78,107.67,107.67,107.78,108,107.89,108,107.45,107.78,107.89,107.89,108,108,107.78,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
