"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,5199.134,5395.604,5590.114,5783.186,5971.786,6162.304,6348.096,6533.938,6718.486,6899.564,7078.874,7255.954,7425.366,7603.792,7774.272,7947.442,8113.136,8274.422,8435.456,8597.688,8761.488,8921.068,9067.106,9231.4,9379.608,9520.768,9670.942,9820.798,9956.08,10103.724,10241.936,10372.134,10510.056,10640.902,10775.054,10902.282,11030.036,11146.552,11279.726,11400.856,11520.342,11636.142,11748.964,11865.836,11980.512,12090.318,12185.676,12297.448,12397.294,12497.294,12596.476,12697.028,12789.656,12884.758,12972.93,13064.02,13148.346,13238.314,13314.876,13397.398,13477.706,13555.384,13630.902,13704.038,13777.538,13843.798,13913.468,13976.682,14040.278,14101.552,14157.318,14216.36,14270.162,14325.122,14373.078,14422.188,14471.244,14515.642,14557.968,14599.288,14638.874,14676.394,14711.566,14743.352,14775.458,14803.884,14830.44,14857.174,14878.84,14899.474,14918.924,14935.174,14951.088,14964.152,14975.072,14983.972,14990.94,14996.084,14999.01,15000
3,3631.89,3921.711,4203.324,4486.461,4761.87,5027.061,5295.189,5548.539,5793.408,6042.285,6282.426,6514.872,6753.381,6966.825,7183.371,7404.6,7618.797,7813.659,8018.373,8210.685,8406,8582.436,8769.522,8948.634,9115.863,9273.411,9440.856,9598.602,9753.738,9897.075,10047.408,10187.496,10329.927,10452.288,10581.84,10709.979,10833.237,10946.862,11062.377,11169.657,11275.008,11378.946,11477.643,11580.462,11667.939,11758.92,11839.095,11920.941,12005.958,12081.39,12154.812,12228.864,12293.847,12359.46,12419.844,12483.279,12539.727,12594.288,12640.737,12689.061,12737.664,12780.681,12826.428,12866.487,12902.253,12937.827,12972.369,13004.733,13032.54,13061.427,13086.684,13111.788,13134.342,13156.545,13175.892,13192.374,13209.69,13225.956,13239.336,13252.551,13263.825,13273.701,13282.911,13291.017,13298.28,13304.508,13310.238,13315.158,13318.59,13321.959,13324.746,13327.002,13328.511,13329.804,13330.728,13331.355,13331.733,13331.94,13331.997,13332
4,2890.644,3276.168,3649.324,4003.808,4359.156,4687.404,5026.352,5331.608,5641.512,5940.288,6227.096,6502.124,6765.492,7033.892,7278.592,7519.34,7747.356,7977.996,8197.12,8407.112,8607.288,8804.808,8983.312,9168.596,9333.8,9496.404,9662.708,9811.892,9955.032,10100.984,10233.672,10362.36,10486.976,10605.028,10713.224,10821.552,10925.48,11018.488,11112.74,11203.084,11286.668,11371,11440.568,11514.312,11583.688,11648.768,11711.08,11770.748,11825.44,11875.416,11923.148,11966.968,12012.904,12049.74,12089.984,12123.684,12159.056,12186.088,12216.644,12246.428,12270.68,12290.024,12312.816,12331.96,12349.276,12366.076,12381.032,12395.348,12407.816,12419.892,12428.736,12438.672,12446.372,12454.084,12461.9,12466.432,12471.952,12476.36,12480.856,12484.284,12486.832,12489.772,12491.368,12493.516,12495.024,12496.3,12497.092,12498.04,12498.476,12498.792,12499.396,12499.636,12499.804,12499.84,12499.932,12499.968,12500,12500,12500,12500
5,2490.25,2958.5,3416.86,3849.54,4258.085,4663.535,5043.925,5408.315,5747.43,6097.69,6417.095,6726.16,7009.425,7295.92,7562.35,7813.045,8059.04,8291.555,8514.785,8721.095,8919.82,9112.695,9292.665,9460.44,9633.005,9780.09,9933.625,10063.16,10197.2,10320.925,10434.17,10544.275,10649.65,10748.415,10834.45,10922.94,11004.095,11085.055,11154.795,11220.945,11281.81,11342.715,11402.185,11451.97,11496.29,11542.255,11581.875,11617.945,11655.315,11686.71,11717.87,11743.835,11773.17,11796.15,11815.15,11835.24,11853.405,11869.605,11883.125,11897.585,11909.275,11920.425,11930.255,11939.26,11946.705,11954.305,11960,11967.04,11972.17,11976.12,11979.5,11982.65,11985.75,11988.39,11989.845,11992.03,11993.895,11994.77,11996.09,11996.9,11997.32,11998.12,11998.68,11998.935,11999.335,11999.375,11999.615,11999.795,11999.835,11999.88,11999.945,11999.96,11999.98,11999.995,12000,12000,12000,12000,12000,12000
6,2249.812,2808.628,3331.234,3845.806,4310.002,4762.648,5196.688,5613.19,5990.668,6345.37,6690.91,7024.57,7333.282,7621.852,7891.378,8149.678,8387.206,8621.938,8842.366,9042.694,9230.698,9413.512,9577.852,9734.656,9884.068,10012.972,10152.334,10269.61,10384.702,10491.406,10585.216,10670.35,10758.046,10833.31,10907.53,10972.57,11034.658,11090.434,11147.386,11191.528,11243.458,11278.84,11317.468,11353.63,11385.946,11416.084,11442.736,11464.84,11484.772,11505.436,11523.574,11540.5,11554.666,11567.59,11579.278,11589.592,11598.358,11607.658,11615.44,11620.45,11627.8,11631.916,11636.248,11639.944,11643.196,11646.772,11649.352,11651.26,11652.988,11655.028,11655.838,11656.912,11657.986,11658.73,11659.672,11660.002,11660.488,11660.89,11661.226,11661.43,11661.526,11661.676,11661.718,11661.85,11661.832,11661.892,11661.94,11661.952,11661.982,11662,11662,11662,11662,11662,11662,11662,11662,11662,11662,11662
7,2109.772,2746.401,3347.029,3911.971,4442.809,4934.468,5409.509,5853.519,6243.755,6641.138,7005.362,7342.342,7650.335,7939.302,8209.74,8477.805,8715.021,8930.775,9142.805,9328.879,9506.63,9667.735,9816.968,9960.902,10093.391,10205.531,10324.23,10414.523,10514.441,10595.662,10681.125,10750.502,10818.472,10877.643,10933.23,10980.739,11033.267,11067.637,11109.882,11145.211,11177.404,11205.208,11227.069,11252.633,11270.336,11291.035,11307.009,11321.051,11333.231,11345.292,11357.164,11364.479,11371.535,11380.229,11386.165,11392.633,11396.378,11401.439,11404.715,11407.746,11410.147,11412.702,11414.277,11416.272,11417.714,11418.806,11419.737,11420.598,11421.277,11421.816,11422.32,11422.74,11422.88,11423.139,11423.384,11423.44,11423.699,11423.72,11423.769,11423.867,11423.909,11423.958,11423.979,11423.986,11424,11423.993,11423.993,11424,11424,11424,11423.993,11424,11424,11424,11424,11424,11424,11424,11424,11424
8,2026.944,2742.848,3412.928,4032.088,4612.912,5161.864,5653.192,6114.56,6539.848,6948.104,7306.28,7658.8,7965.296,8253.832,8520.184,8764.36,8999.136,9206.136,9394.104,9573.648,9731.032,9879.64,10010.568,10131.296,10249.888,10346.48,10441.664,10523.016,10603.648,10673.544,10733.408,10796.216,10846.76,10890.168,10931.424,10967.464,11000.328,11031.048,11057.08,11080.08,11102.864,11122.4,11138.688,11153.952,11166.224,11178.152,11188.416,11195.456,11204.656,11210.528,11217.04,11222.488,11226.24,11229.32,11233.04,11235.864,11237.944,11239.872,11241.888,11242.992,11245.088,11245.56,11246.176,11247.384,11247.72,11248.4,11248.44,11248.904,11249.144,11249.392,11249.408,11249.648,11249.688,11249.88,11249.864,11249.856,11249.864,11249.968,11249.984,11249.976,11249.976,11249.984,11249.992,11249.984,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250
9,1972.354,2772.931,3511.57,4184.986,4803.529,5387.737,5906.092,6387.304,6823.471,7238.398,7607.56,7937.581,8247.037,8539.285,8794.201,9034.024,9245.542,9437.836,9612.508,9759.649,9911.911,10039.027,10156.855,10266.898,10361.623,10438.114,10518.214,10590.925,10652.557,10707.718,10753.447,10800.382,10838.029,10872.634,10902.253,10929.847,10953.733,10975.522,10992.523,11008.336,11024.041,11036.434,11044.984,11055.046,11064.352,11071.561,11076.961,11082.469,11086.636,11090.443,11094.268,11096.923,11098.795,11100.784,11102.116,11104.015,11104.708,11105.698,11106.715,11107.363,11107.903,11108.389,11108.722,11108.866,11109.154,11109.469,11109.523,11109.613,11109.775,11109.811,11109.856,11109.847,11109.928,11109.955,11109.964,11109.946,11109.991,11110,11109.991,11110,11110,11110,11109.991,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
10,1954.81,2824.37,3632.27,4348.42,5023.55,5613.49,6158.32,6664.41,7101.34,7504.09,7881.39,8213.08,8505.06,8785.96,9032.25,9249.65,9444.82,9623.79,9783.58,9922.96,10047.22,10166.99,10267.5,10353.49,10436.81,10508.15,10567.11,10621.64,10674.89,10718,10756.82,10788.56,10818.16,10842.62,10864.53,10883.14,10899.41,10915.59,10927.09,10939.41,10947.95,10956.65,10964.41,10968.9,10975.5,10980.23,10982.83,10985.21,10987.84,10990.57,10991.91,10993.34,10994.35,10995.87,10996.86,10997.47,10997.68,10998.06,10998.58,10999.16,10999.1,10999.39,10999.41,10999.57,10999.83,10999.83,10999.86,10999.87,10999.95,10999.95,10999.96,10999.96,10999.99,10999.98,11000,10999.99,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
11,1952.867,2894.643,3756.13,4524.326,5223.431,5854.347,6402.609,6913.504,7355.022,7758.425,8132.117,8452.294,8740.516,9002.536,9228.553,9437.718,9619.306,9779.62,9925.249,10056.622,10156.623,10252.928,10342.281,10415.838,10489.076,10541.766,10593.202,10638.082,10674.569,10710.792,10737.995,10763.768,10783.953,10804.611,10818.702,10833.992,10845.927,10855.343,10865.254,10871.282,10877.937,10881.919,10887.32,10890.631,10894.085,10896.681,10898.551,10900.366,10901.873,10903.039,10904.073,10904.876,10905.503,10906.02,10906.559,10906.834,10906.999,10907.296,10907.351,10907.626,10907.78,10907.659,10907.89,10907.89,10907.923,10907.912,10907.912,10907.956,10907.967,10907.989,10907.978,10907.978,10907.989,10908,10908,10908,10908,10907.989,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908
