"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,260.262,270.118,279.104,288.914,298.35,308.354,317.308,326.856,336.074,343.654,353.726,363.07,372.062,380.002,388.46,396.11,405.724,414.13,421.4,429.132,437.682,445.492,453.376,462.206,469.418,475.892,482.928,490.826,497.196,502.894,512.43,517.832,525.284,531.434,538.984,544.486,551.074,557.98,563.806,569.394,576.198,580.688,587.516,592.872,599.464,603.556,610.152,614.68,619.528,624.368,629.184,634.916,638.424,643.228,647.858,652.918,657.488,661.52,666.054,670.224,674.428,677.484,680.368,684.676,689.028,691.75,695.558,698.224,702.3,704.354,708.076,710.916,713.976,716.11,718.742,721.088,723.478,725.538,727.992,729.908,732.126,733.462,735.406,736.926,738.558,739.852,741.43,742.926,744.054,744.826,745.898,746.79,747.516,748.072,748.702,749.164,749.512,749.73,749.916,750
3,180.457,195.316,209.026,222.766,236.893,250.555,262.723,276.211,287.956,301.48,312.565,325.501,334.903,345.754,357.217,368.455,378.271,389.824,398.452,409.372,418.99,429.754,435.316,445.339,454.204,461.497,469.468,477.301,487.024,493.723,501.103,507.406,512.434,521.245,527.026,533.131,537.973,545.245,550.99,556.171,561.049,567.385,571.615,576.31,581.185,585.022,588.703,593.674,597.268,601.843,604.561,608.788,612.061,615.37,618.283,620.905,623.863,625.87,629.2,632.347,634.234,636.523,639.082,640.378,642.151,644.107,646.021,647.542,648.931,650.098,651.787,653.035,653.947,655.147,656.161,656.788,657.907,658.537,659.278,659.896,660.664,660.988,661.51,661.726,662.215,662.608,662.893,663.145,663.376,663.466,663.664,663.754,663.766,663.889,663.934,663.982,663.994,663.997,663.997,664
4,144.796,164.076,182.004,198.916,216.496,232.452,252.064,265.708,281.856,297.096,310.768,324.68,337.972,351.128,364.708,376.188,386.848,398.088,408.336,420.424,430.292,439.976,448.06,457.556,465.964,474.144,482.788,489.268,496.4,504.656,510.82,517.644,525.052,529.564,535.652,540.548,546.116,551.008,554.76,560.076,564.072,567.532,572.092,574.292,579.424,581.888,585.028,587.328,590.948,593.996,596.284,597.556,599.824,602.284,604.568,605.64,607.9,609.02,610.948,611.656,613.216,614.152,615.228,616.248,617.352,618.184,619.228,619.692,620.196,620.732,621.284,622.052,622.464,622.644,623.04,623.064,623.392,623.744,623.972,624.168,624.336,624.484,624.584,624.628,624.744,624.752,624.868,624.904,624.912,624.948,624.952,624.98,624.976,624.996,624.996,624.996,625,625,625,625
5,124.205,148.27,170.095,192.11,212.08,233.86,252.5,271.87,287.015,303.78,320.715,336.115,348.805,364.375,375.82,389.105,401.14,413.445,424.365,435.195,444.205,455.965,464.055,473.16,479.85,488.415,495.545,502.775,509.09,515.63,519.78,525.715,531.73,536.865,540.85,546.4,549.395,554.485,557.735,561.22,563.245,567.225,569.955,572.46,574.325,576.685,578.44,580.78,582.695,584.055,585.95,587.095,588.405,590.105,590.34,591.945,592.59,593.105,594.315,595.15,595.485,595.855,596.67,596.975,597.56,597.715,597.985,598.205,598.69,598.68,599.005,599.09,599.25,599.455,599.54,599.58,599.68,599.71,599.75,599.865,599.88,599.875,599.915,599.935,599.96,599.93,599.975,600,600,599.985,599.995,600,600,600,600,600,600,600,600,600
6,112.268,139.424,166.034,190.544,213.488,236.726,258.8,277.796,298.298,316.208,330.65,348.608,366.164,377.192,390.38,405.488,417.572,429.146,439.784,448.514,459.722,467.846,475.304,484.556,490.73,498.704,505.418,510.596,515.66,521.582,525.728,530.426,535.34,537.98,543.692,545.984,549.728,552.5,555.08,557.03,559.31,561.446,564.104,565.1,566.6,568.802,570.056,571.118,572.414,572.858,573.872,574.442,575.492,576.134,576.692,577.298,577.814,578.432,578.72,578.822,579.23,579.284,579.8,579.998,579.998,580.22,580.31,580.436,580.442,580.556,580.682,580.76,580.778,580.856,580.862,580.922,580.952,580.946,580.976,580.976,580.976,580.982,580.988,580.988,580.988,581,581,581,580.994,581,581,581,581,581,581,581,581,581,581,581
7,104.453,135.505,164.093,195.047,220.016,245.643,266.279,290.562,309.903,329.741,347.99,363.859,378.566,391.649,406.419,420.16,431.843,442.567,454.173,461.306,472.317,479.408,486.947,494.339,500.681,506.008,510.544,516.767,522.262,526.602,530.06,533.707,537.69,539.846,543.696,545.775,547.84,549.863,551.319,553.321,555.344,556.933,557.871,559.39,560.51,561.133,562.204,562.708,563.415,563.919,564.577,564.906,565.473,565.76,565.956,566.306,566.551,566.901,566.978,567.209,567.307,567.335,567.482,567.531,567.699,567.643,567.755,567.804,567.902,567.909,567.93,567.916,567.972,567.965,567.979,567.979,567.972,567.993,567.972,567.986,568,567.993,568,567.986,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568
8,100.64,137.016,169.448,199.392,227.208,252.464,278.76,303.64,324.256,344.32,362.72,378.12,393.44,407.28,419.736,433.6,444.296,456.416,465.928,473.112,481.672,489.256,494.88,502.656,507.04,512.512,517.408,521.192,524.968,528.064,531.136,534.72,537.072,540.36,542.112,543.216,544.896,546.216,548.44,549.368,550.648,551.296,552.424,552.576,553.704,554.352,554.736,555.104,555.656,555.864,556.272,556.68,556.784,556.976,557.12,557.184,557.456,557.568,557.648,557.64,557.672,557.728,557.792,557.856,557.92,557.896,557.944,557.936,557.936,557.968,557.96,557.96,557.992,557.984,558,558,557.992,557.992,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558
9,97.021,138.232,173.53,205.084,238.969,264.457,289.972,316.927,338.041,356.05,374.149,392.005,406.999,421.903,432.262,445.096,454.672,466.03,474.454,483.067,489.808,496.684,501.787,507.106,510.949,516.187,519.22,523.99,527.797,529.354,531.604,534.403,535.861,538.039,539.65,540.928,541.954,542.8,543.979,544.726,545.878,546.103,546.742,547.174,547.84,547.741,548.137,548.686,548.902,549.055,549.154,549.226,549.415,549.532,549.568,549.649,549.802,549.883,549.703,549.838,549.847,549.973,549.919,549.91,549.946,549.973,549.964,549.982,549.991,549.973,549.991,549.991,549.991,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
10,95.48,141.69,180.8,217.16,252.11,278.9,306.45,331.14,354.29,373.73,391.71,408.36,423.08,437.86,450.21,461.48,470.06,478.51,488.13,494.24,500.8,508.23,512.28,516.58,520.92,524.98,527.22,530.79,532.96,534.58,537.37,539.03,541.11,541.7,542.82,543.22,545.48,545.8,546.19,546.58,547.25,547.73,547.82,548.25,548.7,548.91,549.06,549.35,549.32,549.45,549.63,549.63,549.69,549.71,549.82,549.9,549.94,549.9,549.95,549.96,549.94,549.98,549.97,549.95,549.99,549.98,549.99,549.99,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
11,95.809,140.348,182.412,221.352,256.2,285.966,316.315,342.55,359.006,382.942,400.575,416.459,431.21,442.837,457.577,466.641,475.001,482.657,489.367,497.463,502.094,506.197,510.608,515.283,518.825,521.718,523.214,526.261,527.812,529.979,530.848,532.157,533.422,534.434,535.677,535.842,536.733,537.173,537.613,538.229,538.35,538.548,538.933,539.175,539.197,539.461,539.527,539.549,539.648,539.626,539.769,539.835,539.769,539.868,539.945,539.912,539.956,539.989,539.978,539.967,539.967,540,539.989,540,539.989,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
12,96.764,146.264,195.932,230.804,266.384,297.716,324.212,352.244,369.464,391.196,411.428,426.056,439.016,448.748,461.48,470.504,479.588,486.512,493.796,498.716,502.76,507.248,510.104,514.748,516.956,519.428,520.808,523.136,524.6,525.872,526.892,527.924,528.332,529.304,529.796,530.36,530.972,531.212,531.608,531.92,532.232,532.244,532.22,532.412,532.52,532.628,532.748,532.676,532.856,532.928,532.964,532.892,532.976,532.94,532.952,532.976,532.94,532.964,532.976,533,532.988,533,533,533,533,533,533,532.988,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533
13,97.124,149.748,199.213,239.11,270.843,309.414,336.428,363.858,385.893,405.64,422.93,436.242,449.398,461.215,468.937,478.947,486.695,493.988,500.41,504.427,508.47,510.966,514.229,517.817,519.325,521.379,523.394,524.577,526.085,527.294,528.464,528.555,529.244,529.855,530.284,530.557,530.752,530.947,531.064,531.272,531.402,531.61,531.649,531.701,531.805,531.831,531.831,531.909,531.961,531.935,531.974,531.961,531.935,531.935,531.987,531.974,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532
14,99.274,151.97,205.058,247.044,283.43,314.762,346.542,367.668,388.444,409.22,428.33,440.972,453.6,464.604,472.192,479.696,487.004,494.368,498.19,502.404,507.094,508.998,511.924,513.758,515.928,516.88,518.378,519.54,520.576,520.968,521.85,522.718,522.844,523.264,523.684,523.796,524.188,524.286,524.468,524.482,524.706,524.734,524.818,524.846,524.902,524.874,524.916,524.944,524.93,524.916,524.958,524.986,524.972,524.986,525,524.986,524.986,525,525,525,525,524.986,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525
15,101.385,159.555,215.655,257.145,296.4,329.865,359.835,384.195,407.34,423.915,437.55,454.2,464.49,473.85,483.33,489.42,495.705,500.79,506.67,509.565,512.85,515.61,517.56,519,520.95,522.495,523.125,523.68,524.985,525.285,525.9,526.26,526.545,526.965,527.295,527.145,527.34,527.52,527.685,527.67,527.805,527.775,527.835,527.88,527.94,527.955,527.91,527.97,528,528,528,527.97,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
16,104.392,164.632,219.128,265.56,303.544,340.12,368.12,392.328,415.864,434.44,447.08,460.376,472.248,480.072,489.464,495.368,499.928,504.568,508.728,512.44,514.344,517.224,519.56,519.992,522.056,522.696,523.288,524.488,524.44,525.352,525.288,526.072,526.296,526.392,526.52,526.568,526.712,526.696,526.744,526.808,526.936,526.904,526.968,526.968,526.888,526.968,526.984,526.984,526.984,527,527,527,526.984,527,527,527,526.984,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527
17,104.633,170.1,227.339,269.703,315.586,348.923,377.653,397.781,421.445,436.15,450.498,462.517,474.876,481.982,489.394,493.695,500.75,503.929,508.094,509.964,512.242,514.843,515.693,517.495,517.937,519.008,519.382,519.773,520.317,521.048,521.201,521.286,521.337,521.507,521.711,521.643,521.796,521.796,521.847,521.864,521.898,521.983,521.949,521.966,522,521.966,522,522,521.983,522,522,522,521.983,522,521.983,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522
18,107.442,177.12,229.626,277.164,317.628,349.29,379.278,401.886,419.688,437.094,452.898,461.052,472.14,479.286,485.748,490.644,493.686,498.996,500.67,502.794,505.026,506.826,507.816,509.094,509.742,510.606,511.254,511.398,511.614,512.118,512.406,512.262,512.658,512.802,512.784,512.766,512.928,512.928,512.964,512.964,512.946,512.91,512.982,512.946,512.982,512.982,512.982,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
