"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,51.936,54.13,55.928,57.73,59.39,61.744,63.754,65.652,67.05,68.796,70.746,72.694,74.12,75.9,77.238,78.638,80.896,82.542,84.228,85.784,87.23,88.94,90.504,92.312,93.348,94.97,96.884,97.976,98.784,100.932,102.684,103.42,105.742,106.056,107.428,108.952,110.024,110.944,112.476,113.9,114.368,116.23,116.916,118.528,119.504,120.552,121.834,122.646,123.978,125.176,125.794,126.706,127.28,128.836,129.342,130.592,131.536,131.97,132.848,133.514,134.608,135.586,135.838,136.908,137.774,138.258,139.092,139.452,140.144,141.046,141.54,141.774,142.29,143.124,143.464,144.14,144.626,144.99,145.392,145.864,146.322,146.586,147.046,147.422,147.524,148.05,148.104,148.454,148.752,148.876,149.154,149.278,149.432,149.572,149.708,149.838,149.888,149.942,149.988,150
3,35.58,38.787,41.478,44.508,46.806,49.398,52.626,54.516,57.153,59.937,61.824,64.485,66.504,68.424,70.713,72.837,75.048,77.022,79.344,80.709,83.589,84.168,86.739,87.963,89.637,91.665,93.435,94.638,96.255,97.353,98.532,100.923,102.054,103.164,104.292,105.741,106.767,108,109.35,110.247,111.132,111.891,112.905,114.237,115.401,116.1,116.877,117.69,118.401,118.995,119.694,120.819,121.38,122.124,122.58,123.084,123.882,124.644,125.073,125.586,125.892,126.348,126.978,126.996,127.413,127.701,128.277,128.481,128.805,129.168,129.42,129.639,129.759,130.215,130.311,130.56,130.839,130.785,130.95,131.172,131.202,131.373,131.376,131.568,131.643,131.67,131.745,131.793,131.838,131.88,131.904,131.931,131.952,131.973,131.979,131.985,131.994,132,132,132
4,28.968,33.004,36.492,39.912,43.476,46.516,50.412,52.86,56.044,58.784,62.292,64.804,67,69.88,72.616,74.54,76.812,79.828,80.888,83.824,85.752,87.12,90.056,91.088,92.176,94.232,96.084,97.316,99.836,100.592,101.168,102.588,104.828,105.392,106.736,107.884,109.184,109.832,110.812,111.524,112.452,113.332,113.652,114.436,115.352,116.312,116.532,117.136,117.632,118.288,118.868,119.26,119.928,120.316,120.504,120.928,121.376,121.616,122.032,122.356,122.604,122.492,123.152,123.216,123.356,123.576,123.644,123.86,123.84,124.128,124.192,124.28,124.388,124.56,124.556,124.564,124.668,124.748,124.772,124.812,124.82,124.88,124.892,124.924,124.932,124.944,124.936,124.984,124.964,124.984,124.984,124.992,125,125,125,125,125,125,125,125
5,24.81,29.71,33.565,38.435,42.765,45.28,49.86,54.515,57.74,60.67,63.375,66.795,69.465,71.88,73.97,77.605,79.545,82.575,85.055,86.59,88.91,89.99,92.54,94.135,95.435,96.95,98.515,99.31,101.615,102.175,103.355,104.83,105.32,106.79,107.87,108.595,109.29,110.13,111.17,111.86,112.345,112.95,113.405,114.005,114.695,115.06,115.775,115.83,116.21,116.615,116.965,117.19,117.54,117.63,118.025,118.165,118.235,118.605,118.62,118.81,118.995,119.015,119.25,119.31,119.325,119.41,119.59,119.585,119.595,119.645,119.69,119.73,119.825,119.87,119.875,119.85,119.91,119.94,119.95,119.925,119.975,119.97,119.975,119.975,119.975,119.99,119.995,119.99,120,120,120,120,120,120,120,120,120,120,120,120
6,21.496,26.206,31.828,35.95,41.452,45.652,48.922,53.794,56.494,59.92,63.13,66.406,70.078,72.376,75.538,77.98,79.582,81.358,83.896,86.458,87.406,89.566,91.282,92.686,94.63,95.506,96.928,98.386,99.376,99.802,101.014,101.242,103.39,103.504,104.104,104.32,105.16,105.88,106.366,107.194,107.5,108.1,108.436,108.802,109.276,109.192,109.564,109.978,110.062,110.308,110.638,110.542,110.884,110.848,111.112,111.268,111.322,111.25,111.424,111.604,111.556,111.64,111.652,111.766,111.79,111.796,111.742,111.898,111.892,111.928,111.916,111.952,111.934,111.988,111.952,111.976,111.982,111.97,111.994,111.97,111.994,112,111.994,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
7,20.202,26.418,32.137,37.065,43.253,47.103,52.353,56.476,60.081,63.364,66.85,71.337,73.836,76.755,78.904,82.131,84.84,86.254,88.158,90.741,91.63,93.723,95.445,96.719,98.238,98.833,100.492,100.954,102.13,103.544,104.258,104.734,105.077,105.63,106.407,106.988,107.569,108.304,108.605,108.969,109.298,109.333,109.893,109.907,110.201,110.523,110.565,110.712,110.761,111.132,111.006,111.321,111.447,111.475,111.426,111.587,111.734,111.727,111.804,111.783,111.832,111.811,111.811,111.93,111.874,111.944,111.944,111.979,111.958,111.944,111.965,111.986,111.965,111.972,111.986,112,111.993,111.993,111.993,112,112,111.993,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
8,19.808,25.984,31.912,37.576,44.024,48.184,53.384,56.944,61.016,64.8,69.512,72.088,75.496,78.2,80.792,82.992,84.504,87.392,89.288,90.88,92.784,94.336,94.784,95.912,97.24,98.608,99.288,100.104,101.184,101.84,102.344,103.208,103.568,104.144,104.248,105.12,105.288,105.44,105.632,106.24,106.64,106.576,106.6,106.72,106.912,107.08,107.184,107.368,107.376,107.528,107.48,107.656,107.632,107.856,107.824,107.744,107.888,107.896,107.848,107.904,107.904,107.896,107.928,107.984,107.96,107.984,107.968,107.944,107.992,107.992,107.992,107.992,107.992,107.992,107.992,108,107.992,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
9,19.064,26.615,33.419,40.538,47.747,52.598,56.918,61.679,65.837,70.292,73.838,76.556,81.038,83.477,85.79,87.599,90.299,92.333,93.908,95.366,96.581,98.183,99.857,100.865,101.522,102.305,103.457,104.276,104.663,105.275,105.842,106.382,106.868,107.399,107.597,107.876,108.092,108.29,108.533,108.92,108.911,108.983,109.262,109.37,109.514,109.532,109.658,109.568,109.739,109.685,109.694,109.802,109.811,109.838,109.919,109.901,109.973,109.955,109.937,109.982,110,109.964,109.946,109.973,110,109.973,110,110,109.991,110,110,110,110,110,109.991,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
10,19.03,26.82,35.08,43.27,48.84,54.07,59.18,64.93,69.11,73.86,77.03,80.85,83.52,86.2,89.09,91.8,93.36,94.58,96.37,97.78,99.2,100.69,101.63,102.84,103.35,104.31,104.69,105.66,106.04,106.7,107.17,107.51,107.72,108.24,108.31,108.47,108.79,108.98,108.83,109.17,109.37,109.48,109.61,109.62,109.57,109.57,109.72,109.84,109.87,109.8,109.88,109.85,109.97,109.96,109.95,109.97,109.93,109.96,109.97,109.99,110,110,109.99,110,110,109.99,110,110,110,110,109.99,109.99,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
11,18.295,28.03,35.796,43.243,50.228,56.498,61.503,67.344,70.853,74.351,78.894,81.754,84.383,87.221,90.081,92.325,93.854,95.867,97.165,98.221,99.222,100.916,101.158,102.456,103.116,103.787,104.227,104.491,105.338,105.701,105.954,106.339,106.471,106.713,106.911,106.9,107.12,107.329,107.351,107.45,107.648,107.681,107.714,107.791,107.769,107.813,107.879,107.846,107.901,107.89,107.923,107.945,107.967,107.978,107.978,107.989,107.989,107.989,107.978,107.989,108,108,107.989,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
12,18.284,27.236,36.14,44.156,49.88,58.508,62.42,66.704,71.12,74.756,78.152,81.02,84.5,86.624,89.144,90.56,92.252,93.908,95.6,96.296,97.4,98.132,98.84,99.356,100.556,101.192,101.216,102.056,102.116,102.38,102.44,103.04,102.692,102.92,103.328,103.412,103.412,103.52,103.616,103.628,103.664,103.688,103.856,103.784,103.844,103.892,103.916,103.964,103.964,103.94,103.964,103.952,103.988,104,104,103.988,104,103.988,104,103.988,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
