"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,519.8984,539.5752,559.144,578.3622,597.497,616.4802,635.3712,653.4872,672.1902,689.9086,707.5654,725.2872,742.801,760.6186,777.4554,794.744,811.097,827.3494,843.8714,860.106,875.6456,891.7778,907.2714,922.7456,937.085,952.0144,966.3976,981.7756,995.568,1009.3518,1023.4074,1037.722,1050.9542,1064.0852,1077.0562,1090.4332,1102.7938,1114.8688,1128.1716,1139.6882,1152.0202,1163.6954,1174.856,1186.5398,1197.3488,1208.3806,1218.8278,1229.5858,1239.2586,1249.7732,1259.4562,1269.0446,1279.021,1287.949,1297.1292,1306.789,1315.2882,1323.2858,1331.6194,1339.8912,1347.9748,1355.3824,1362.8184,1369.911,1377.2632,1384.4218,1390.9096,1397.53,1403.7616,1409.9512,1415.4252,1421.3968,1426.8596,1432.2484,1437.312,1442.2254,1446.9922,1451.5018,1455.5984,1459.8946,1463.7558,1467.4234,1470.9276,1474.1948,1477.4046,1480.2672,1482.916,1485.6096,1487.821,1489.9378,1491.835,1493.5398,1495.014,1496.3276,1497.4638,1498.349,1499.0822,1499.5884,1499.9002,1500
3,362.8671,391.5111,420.1785,448.3968,475.167,502.1415,528.5412,553.677,579.3291,604.0419,627.5652,650.8245,674.0763,695.496,717.3573,739.7364,760.0812,781.0017,800.8311,820.1265,838.6893,858.0642,875.5191,892.8438,909.7797,926.8671,942.8235,958.5189,974.4168,988.8645,1002.8595,1017.1008,1031.2413,1044.0483,1057.2432,1069.5972,1082.2347,1093.8141,1105.0686,1115.6793,1125.6756,1136.9796,1146.5187,1155.9729,1165.6656,1174.551,1182.7884,1191.0873,1199.5062,1206.7011,1214.067,1221.141,1228.0134,1234.4451,1240.7328,1246.7043,1252.2615,1257.7197,1262.7267,1267.7037,1272.5232,1276.9896,1281.0441,1285.0962,1288.8636,1292.643,1295.7762,1298.9271,1301.9622,1304.6484,1307.4843,1309.8627,1312.3056,1314.3168,1316.0595,1318.0635,1319.7768,1321.2084,1322.5857,1324.0008,1325.0817,1326.1083,1327.0845,1327.8858,1328.5803,1329.1968,1329.7383,1330.2402,1330.6713,1330.9971,1331.2551,1331.487,1331.6508,1331.7747,1331.8788,1331.9295,1331.9712,1331.9925,1331.9988,1332
4,289.562,327.2672,365.1284,400.2008,434.8792,469.332,502.0484,532.5532,564.4256,593.2612,622.0708,649.8368,677.0564,702.5044,727.4292,751.4336,774.6812,797.4344,818.9636,839.4432,859.9844,879.3996,898.35,915.4216,932.8144,949.3968,965.4344,980.4,995.6896,1009.1144,1022.1712,1035.0508,1048.3712,1059.6904,1070.866,1081.8392,1092.0612,1101.6944,1110.7028,1119.8352,1128.5448,1136.5032,1144.0248,1151.6088,1157.8388,1164.4988,1170.6056,1176.3816,1182.092,1187.3284,1192.3492,1196.384,1200.6092,1204.9248,1208.4936,1212.244,1215.5748,1218.7116,1221.4252,1224.004,1226.5968,1228.8248,1231.0448,1233.118,1234.786,1236.3932,1238.002,1239.346,1240.648,1241.8812,1242.796,1243.7064,1244.6052,1245.3484,1245.994,1246.6008,1247.1016,1247.5744,1247.9836,1248.338,1248.63,1248.9464,1249.1324,1249.3088,1249.482,1249.614,1249.6996,1249.7824,1249.8572,1249.8844,1249.9296,1249.9548,1249.9692,1249.986,1249.9908,1249.9976,1250,1250,1249.9996,1250
5,249.023,295.568,341.178,384.1715,426.3375,465.847,503.7415,540.903,574.5945,609,641.1265,672.1495,700.7535,728.7855,755.14,780.485,805.339,828.0825,850.4785,871.8715,891.071,911.021,928.3935,945.8,961.244,977.6345,991.728,1005.8695,1018.6895,1031.029,1043.3805,1054.607,1064.349,1074.0215,1083.0355,1091.6255,1100.249,1108.2785,1115.577,1121.719,1127.924,1133.724,1139.1555,1144.6085,1149.4295,1153.909,1157.9345,1161.5785,1165.1115,1168.3855,1171.3415,1174.3285,1176.969,1179.2635,1181.412,1183.156,1185.138,1186.8985,1188.234,1189.618,1190.8835,1191.821,1192.9565,1193.818,1194.6285,1195.427,1195.9415,1196.563,1197.057,1197.489,1197.932,1198.2035,1198.4945,1198.7355,1199.027,1199.203,1199.333,1199.4615,1199.5705,1199.647,1199.742,1199.8045,1199.8505,1199.8955,1199.919,1199.932,1199.9655,1199.976,1199.983,1199.9885,1199.992,1199.9975,1199.9965,1199.9995,1199.9995,1200,1200,1200,1200,1200
6,224.0764,279.4444,331.4506,382.7734,428.9314,473.6992,517.1518,557.0326,594.7816,631.9654,666.6064,698.3146,728.9596,756.721,785.2726,810.2746,835.0918,858.3574,879.7612,900.6886,919.3756,936.2266,953.6848,969.0958,983.4256,997.2892,1010.7172,1022.1118,1033.3306,1044.1528,1053.733,1063.2784,1071.5392,1078.7854,1086.1342,1093.2034,1099.0594,1104.8416,1110.4732,1115.0872,1119.5344,1123.9336,1127.5492,1131.1204,1134.1888,1137.0376,1139.5588,1142.1052,1144.051,1146.1756,1147.9942,1149.7168,1151.1166,1152.4156,1153.6204,1154.68,1155.6586,1156.4014,1157.2732,1157.8078,1158.43,1158.9814,1159.2886,1159.831,1160.1442,1160.4544,1160.656,1160.8918,1161.0976,1161.238,1161.4114,1161.5248,1161.5944,1161.6604,1161.7486,1161.7978,1161.847,1161.8806,1161.9118,1161.931,1161.9358,1161.9562,1161.9778,1161.985,1161.9892,1161.9928,1161.9964,1161.9976,1161.997,1161.9994,1161.9994,1162,1162,1162,1162,1162,1162,1162,1162,1162
7,209.3022,272.3666,332.1669,388.3062,441.9017,490.0911,537.5007,580.2889,621.1801,659.4764,694.6759,728.9157,759.2285,787.722,816.2344,842.2786,864.4819,887.6715,907.0909,926.6748,943.2123,960.0193,975.7056,989.2499,1002.1061,1014.6998,1025.4371,1035.7033,1045.1344,1053.4308,1061.1819,1068.9036,1075.2708,1081.3986,1086.615,1091.984,1096.4255,1100.3441,1104.3201,1107.5569,1111.0226,1113.7568,1116.2593,1118.3614,1120.6518,1122.3535,1124.1406,1125.4797,1126.886,1128.146,1129.0931,1130.0416,1130.8508,1131.7083,1132.1402,1132.7947,1133.27,1133.6249,1133.9938,1134.2542,1134.621,1134.7904,1135.0088,1135.1754,1135.3231,1135.4638,1135.5674,1135.6276,1135.7158,1135.7739,1135.8096,1135.8593,1135.9048,1135.9181,1135.9328,1135.9601,1135.9566,1135.9783,1135.9811,1135.9853,1135.9881,1135.9958,1135.9965,1135.9979,1135.9979,1135.9986,1135.9993,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
8,201.6112,273.7344,341.3776,402.5304,461.0448,515.2192,564.5856,609.5032,653.2344,693.9248,729.4888,763.8328,795.6264,823.3192,851.0704,876.1864,898.156,919.5168,938.376,956.2208,971.5272,986.64,1000.1648,1012.512,1023.5632,1034.2256,1043.4456,1052.0136,1059.4928,1066.5712,1072.864,1078.6304,1083.848,1088.6736,1092.7016,1096.4448,1099.8904,1102.5064,1105.7,1107.8112,1110.0832,1111.812,1113.5144,1115.0992,1116.3728,1117.6712,1118.7896,1119.432,1120.3456,1120.9824,1121.5648,1122.0136,1122.6544,1122.9168,1123.1816,1123.4968,1123.8024,1123.992,1124.1672,1124.2984,1124.4248,1124.5152,1124.6568,1124.7024,1124.7712,1124.824,1124.8432,1124.8864,1124.9096,1124.9272,1124.948,1124.9496,1124.9664,1124.9816,1124.9784,1124.9864,1124.9872,1124.9944,1124.996,1124.9976,1124.9992,1124.9992,1124.9976,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
9,197.3505,275.8917,349.5441,417.5616,479.2323,536.0079,589.3743,636.7872,681.4389,721.5816,758.316,792.0219,823.3842,850.5498,877.3239,900.4188,922.3572,941.2482,959.0709,975.5103,989.2245,1002.3249,1014.204,1024.7466,1034.2137,1042.7331,1050.3534,1057.2276,1063.8543,1068.9213,1074.2871,1078.6953,1082.4573,1085.6766,1089.003,1091.7084,1094.1348,1096.1661,1097.904,1099.4889,1101.1215,1102.3851,1103.4192,1104.5253,1105.1247,1106.031,1106.5629,1107.0858,1107.5925,1107.9777,1108.2108,1108.5897,1108.8219,1109.0298,1109.1747,1109.3223,1109.4555,1109.5509,1109.6454,1109.7246,1109.7642,1109.8164,1109.8713,1109.8902,1109.928,1109.9334,1109.9541,1109.9622,1109.9721,1109.9802,1109.9856,1109.9874,1109.9856,1109.9973,1109.9955,1109.9973,1109.9955,1109.9982,1110,1110,1110,1109.9982,1110,1109.9991,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
10,194.671,281.865,361.714,433.739,500.414,560.964,613.211,663.74,709.81,750.177,786.42,820.221,849.749,876.637,900.796,923.457,943.268,960.944,977.511,991.719,1004.011,1015.526,1025.508,1035.759,1042.884,1049.456,1056.433,1061.66,1067.129,1071.297,1075.14,1078.219,1081.438,1083.843,1086.313,1088.204,1089.913,1091.515,1092.642,1093.838,1094.692,1095.611,1096.296,1096.844,1097.351,1097.774,1098.112,1098.436,1098.774,1098.989,1099.172,1099.35,1099.457,1099.583,1099.656,1099.699,1099.779,1099.807,1099.863,1099.879,1099.913,1099.931,1099.952,1099.957,1099.976,1099.977,1099.979,1099.989,1099.991,1099.989,1099.995,1099.995,1099.998,1099.998,1099.999,1099.999,1100,1099.999,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
11,192.542,284.9805,371.0335,446.6211,515.0818,576.2341,631.7005,682.6371,727.1805,768.139,802.921,835.0784,863.7466,890.0355,912.3347,932.3239,950.7621,966.8628,981.8107,994.0735,1004.8161,1014.2321,1022.9782,1031.1468,1037.5796,1043.1115,1048.1902,1052.7079,1056.4732,1060.0834,1062.7828,1065.1731,1067.4237,1069.3817,1070.9349,1072.3132,1073.6332,1074.7057,1075.666,1076.1423,1076.8892,1077.4502,1077.8792,1078.1762,1078.603,1078.7999,1079.0628,1079.2278,1079.3521,1079.5017,1079.5743,1079.6381,1079.7558,1079.7602,1079.8515,1079.8735,1079.8988,1079.9164,1079.9439,1079.9549,1079.967,1079.9703,1079.9758,1079.9846,1079.9879,1079.9857,1079.9923,1079.9967,1079.9978,1079.9978,1080,1080,1080,1079.9989,1080,1080,1080,1080,1079.9978,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
