"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,520.88,540.88,557,579.88,596.94,617,633.86,653.02,673.34,690.22,706,724.34,743.8,761.22,776.6,794.06,811.12,830.28,841.26,859.86,876.92,887.48,907.18,920.32,936.74,947.08,974.4,983.36,994.18,1008.6,1024.58,1039.36,1051.32,1068.62,1072.6,1092.58,1097.7,1117.3,1128.96,1137.42,1149.8,1164.4,1176.02,1188.6,1198.74,1204.44,1221.48,1222.86,1235.52,1247.96,1260.02,1268,1277.12,1289.68,1297.8,1303.54,1318.16,1325.3,1333.28,1343.2,1345.32,1353.54,1357.74,1370.72,1374.8,1383.44,1392.42,1394.78,1404.46,1411.16,1416.16,1420.22,1427.42,1432.02,1439.7,1440.94,1446.72,1451.56,1455.8,1460.68,1464.84,1467.58,1471.84,1474.48,1477.76,1480.42,1482.18,1486.06,1487.42,1490.14,1491.5,1493.92,1494.9,1496.32,1497.76,1498.1,1499.1,1499.66,1499.84,1500
3,364.32,393.66,420.57,445.26,475.8,497.01,532.14,553.74,583.08,598.77,628.71,648.48,669.51,699.39,718.11,733.17,763.89,790.8,799.62,826.5,844.62,861.87,873.18,896.31,907.47,933.18,943.35,967.11,976.11,980.7,1003.8,1014.27,1028.64,1049.13,1056.3,1066.65,1084.98,1095.96,1097.55,1114.83,1127.25,1133.79,1146.42,1157.85,1166.04,1172.82,1181.49,1187.73,1203.33,1207.59,1213.26,1219.14,1225.8,1230.96,1241.58,1243.89,1250.52,1256.4,1260.78,1267.02,1271.85,1276.02,1281.06,1287.6,1288.56,1290.42,1297.65,1298.79,1302.66,1303.83,1307.46,1308.57,1312.53,1314.54,1315.89,1318.35,1319.19,1320.51,1322.73,1324.02,1325.19,1326.84,1326.51,1327.2,1328.58,1328.97,1329.66,1330.41,1330.53,1330.83,1331.28,1331.34,1331.49,1331.61,1331.82,1331.88,1331.97,1332,1332,1332
4,292.56,326.96,369.68,396,437.76,463.96,500.92,531.32,566.36,599.56,622.72,647.88,679.96,706.92,727.16,755.12,769.16,795.96,816.52,834.4,857.28,876.84,897.2,913.6,933.16,948.44,966.12,980.88,988.96,1010,1020.04,1034.84,1045.08,1059.52,1069.84,1077.52,1090.84,1103.52,1107.56,1113.6,1127.16,1134.96,1144.56,1152.6,1158.28,1163.56,1171.96,1178.84,1183.68,1185.88,1190.96,1198.16,1200.36,1208.04,1208.52,1210,1213.8,1219.48,1220.68,1223.48,1226.12,1229.92,1230.4,1233.56,1235.04,1235.64,1238.68,1240.08,1241,1242.4,1242.76,1243.64,1244.72,1245.4,1246,1245.84,1246.88,1247.88,1248.24,1248.2,1248.56,1248.64,1249.16,1249.16,1249.48,1249.76,1249.92,1249.48,1249.8,1249.92,1249.88,1249.96,1250,1249.92,1250,1250,1250,1250,1250,1250
5,248.65,298.5,343.5,377.8,418,460.75,502,538.1,581.15,613.5,639.95,675.05,695.4,727.6,760,776.1,800.85,824.8,841.6,877.15,890.05,910.85,930.7,943.65,966.95,974.9,994.25,1008.1,1015.45,1033.5,1040.2,1055.55,1063.8,1073.05,1085.2,1090.7,1105.85,1105.95,1115.2,1122.65,1127.95,1127.95,1141.7,1142.85,1148.6,1152.7,1158.4,1162.5,1163.75,1166.7,1170.75,1174.55,1174.75,1178.75,1181.7,1182.7,1183.95,1187.8,1188.6,1188.3,1191.5,1191.65,1191.95,1193.45,1194.75,1196.25,1196.35,1196.25,1196.75,1198.2,1198.05,1197.8,1198.65,1199.05,1199.25,1199.15,1198.9,1199.75,1199.55,1199.6,1199.35,1199.85,1199.8,1199.95,1199.8,1199.9,1199.95,1199.95,1200,1199.95,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
6,229.96,277.06,329.62,376.24,427.84,472.18,512.8,549.7,604.78,618.1,662.02,698.86,724.72,765.4,785.38,816.88,828.46,856.54,880.48,899.68,913.48,939.52,952.72,978.34,976.42,996.76,1007.68,1019.86,1034.86,1044.46,1051.6,1057.36,1074.58,1078.78,1083.64,1095.28,1100.2,1103.02,1111.12,1111.84,1118.5,1121.14,1127.5,1132.9,1134.64,1137.28,1137.7,1143.52,1144,1145.32,1149.46,1150.6,1151.44,1151.62,1153.84,1154.14,1155.28,1156.6,1156.84,1157.74,1158.76,1157.98,1159.48,1159,1159.9,1160.38,1160.02,1161.04,1161.04,1160.98,1161.52,1161.4,1161.64,1161.7,1161.88,1161.88,1161.76,1161.64,1161.82,1161.82,1162,1161.94,1162,1162,1161.94,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162
7,208.71,271.71,334.57,385.11,435.65,488.43,534.91,575.58,621.64,654.12,701.65,726.15,755.48,781.31,807.98,844.24,867.9,890.09,915.64,933.14,942.73,957.22,980.18,993.13,1000.06,1011.82,1025.4,1036.04,1043.95,1052.91,1059.14,1066.42,1082.73,1080.77,1084.62,1090.22,1095.12,1100.51,1103.52,1106.81,1111.85,1112.9,1116.82,1120.25,1121.23,1122.56,1124.66,1125.57,1126.06,1128.37,1127.88,1129.21,1130.05,1130.61,1132.15,1132.57,1133.76,1133.9,1134.88,1134.39,1134.67,1134.95,1135.51,1135.3,1135.44,1135.51,1135.79,1135.72,1135.86,1135.93,1135.72,1135.93,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1135.86,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
8,201.72,275.08,338.76,405.96,456.76,513.24,566.36,615.08,643.64,694.36,734.76,756.84,793.72,818.04,856.84,871,897.08,915.48,941.64,946.6,969.08,989.88,1000.2,1012.28,1024.52,1031.48,1042.28,1049.56,1063.72,1069.64,1071.08,1080.36,1085.16,1087.56,1092.44,1095.4,1099.4,1105.32,1106.76,1107.72,1109.24,1113.24,1113.4,1117.32,1114.68,1116.44,1117.72,1119.48,1119.48,1121.64,1121.24,1121.72,1123,1122.2,1123.48,1123.8,1124.52,1124.28,1124.04,1124.12,1124.36,1124.28,1124.68,1124.6,1124.68,1124.68,1124.92,1124.84,1124.92,1124.92,1124.92,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
9,193.35,272.73,347.34,427.8,481.71,538.23,584.94,630.57,688.17,723.45,755.94,796.53,824.43,851.16,874.11,903.45,917.58,935.13,970.68,971.58,992.1,1002.27,1009.65,1025.76,1037.19,1041.78,1047.09,1056.36,1062.75,1065.9,1070.31,1075.8,1083.36,1083.18,1087.41,1093.08,1094.25,1096.05,1098.21,1101,1100.55,1102.71,1104.51,1105.05,1106.13,1107.03,1106.22,1107.57,1106.94,1107.48,1107.84,1108.65,1109.37,1109.19,1109.1,1109.37,1109.73,1109.82,1109.73,1109.64,1110,1109.82,1109.82,1109.82,1109.82,1109.91,1110,1110,1109.91,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
10,193.6,283.2,352.3,441.5,501.7,560.5,618.4,669.5,702.6,752.1,785.4,828.2,851,880.6,906.7,928.8,940.6,962.6,976.7,990.9,1006.5,1012.3,1024.7,1032.3,1036.7,1047.1,1056.5,1059.8,1068.9,1070.7,1077,1078.2,1081.5,1082.3,1086.3,1089.4,1088.3,1090.5,1093,1092.7,1093.8,1095.9,1097.4,1098.3,1097.5,1097.8,1098.7,1098,1099,1099,1099.1,1099,1099.6,1099.3,1099.7,1099.5,1099.8,1099.8,1099.9,1099.8,1099.6,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
11,193.73,284.7,374.13,442.66,515.81,579.94,634.5,683.34,725.91,762.65,806.43,833.49,867.15,891.68,917.2,928.53,952.51,969.34,978.03,998.49,999.7,1016.97,1024.56,1028.19,1035.23,1042.16,1049.2,1054.26,1054.04,1061.3,1065.04,1066.03,1067.9,1070.76,1072.41,1072.19,1073.62,1074.72,1074.83,1076.37,1076.7,1077.36,1077.47,1078.35,1078.79,1078.9,1079.67,1079.56,1079.34,1079.45,1079.67,1079.78,1079.67,1079.78,1079.89,1079.89,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
