"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,5198.7756,5395.801,5591.0072,5784.567,5973.4318,6164.1054,6350.915,6535.9364,6719.508,6901.3076,7079.9516,7256.665,7431.026,7603.8804,7774.4366,7943.8718,8111.8076,8276.4012,8440.7726,8601.9762,8758.761,8916.631,9072.0694,9224.5886,9375.8538,9523.0846,9672.8776,9816.9932,9958.8612,10098.5516,10237.9778,10377.6914,10510.0772,10644.2752,10774.9952,10902.0364,11029.9806,11156.8166,11278.9822,11399.531,11518.8824,11635.8604,11751.9856,11863.1654,11975.8556,12083.806,12191.0644,12296.77,12398.2434,12500.6692,12598.5242,12695.8636,12791.3826,12882.6298,12973.8122,13063.6864,13150.8642,13234.2696,13318.645,13400.0232,13478.67,13555.523,13631.0522,13704.2076,13775.2814,13844.0682,13911.2928,13975.1634,14038.5898,14099.7056,14158.573,14215.5988,14270.2132,14323.2412,14374.6876,14423.4956,14470.6944,14515.8192,14558.616,14599.4976,14638.7712,14676.1414,14711.0068,14744.1154,14774.6754,14804.045,14830.8396,14856.0944,14878.9098,14899.8066,14919.0786,14936.4178,14950.9436,14963.8216,14974.9392,14983.9394,14990.9736,14996.0172,14999.0034,15000
3,3629.1735,3920.8641,4205.6475,4484.6754,4758.4131,5026.9239,5289.4128,5545.3557,5796.2799,6041.7654,6283.245,6517.1337,6748.908,6972.7341,7190.1648,7405.9713,7613.616,7818.1122,8016.9036,8210.6661,8402.3112,8587.7355,8766.8157,8940.3006,9111.4851,9279.1791,9441.0789,9598.8381,9754.6983,9902.8182,10046.8782,10188.4164,10323.1149,10457.6898,10584.51,10710.2025,10832.5305,10948.9533,11059.5246,11172.4782,11278.4403,11379.1131,11479.6344,11575.9764,11667.0072,11757.0231,11844.2553,11925.5571,12005.9994,12081.6816,12154.5477,12225.4161,12293.0457,12357.5637,12420.1989,12480.4023,12537.2577,12590.4228,12643.0974,12690.8742,12738.5766,12783.4284,12824.9634,12865.2987,12903.4836,12938.1777,12972.2931,13004.4807,13034.8098,13061.73,13087.9695,13112.1741,13135.0233,13155.9615,13175.8761,13193.7471,13209.8763,13225.4361,13239.4314,13252.1223,13263.6555,13273.8243,13282.7526,13291.2369,13298.2926,13304.508,13310.0508,13314.6351,13318.623,13322.0217,13324.7043,13326.9108,13328.5896,13329.8265,13330.7496,13331.3511,13331.7075,13331.922,13331.988,13332
4,2892.8792,3277.0108,3648.2252,4007.1196,4353.81,4692.4316,5021.0744,5335.666,5641.778,5939.4,6223.4648,6502.0776,6770.8612,7028.3816,7281.1516,7519.4512,7753.0416,7979.7296,8193.9088,8404.2688,8606.3424,8798.24,8985.7984,9160.6292,9334.4768,9499.5852,9658.4536,9814.4856,9959.75,10099.8896,10232.19,10360.4616,10482.1736,10601.6844,10715.3708,10821.2416,10923.0948,11020.6336,11114.5004,11203.4904,11287.7972,11368.7276,11442.7712,11516.1264,11585.414,11649.9912,11710.3916,11768.2496,11822.4668,11875.2396,11923.2072,11969.2972,12011.4184,12052.1124,12089.6604,12124.9244,12157.7088,12188.5732,12216.7192,12243.2796,12268.3552,12290.9152,12311.9172,12331.9492,12349.2132,12366.1292,12381.212,12394.5476,12407.3568,12418.966,12428.8276,12438.618,12446.7528,12454.1796,12460.7452,12466.8596,12472.0776,12476.4016,12480.484,12483.9768,12486.8444,12489.5944,12491.612,12493.3724,12494.9016,12496.1492,12497.1444,12497.9532,12498.5332,12498.9852,12499.34,12499.5848,12499.768,12499.864,12499.9416,12499.9696,12499.9948,12499.998,12499.9996,12500
5,2489.501,2961.1185,3412.7355,3844.387,4263.5865,4660.7365,5043.1935,5409.0785,5757.8335,6094.6985,6415.974,6722.588,7013.8435,7294.837,7560.9105,7816.895,8060.93,8293.7655,8510.9845,8724.0135,8922.1685,9112.8665,9291.849,9463.332,9625.4105,9779.8785,9925.2195,10066.0275,10192.8865,10317.4495,10435.901,10545.342,10649.045,10746.477,10839.206,10925.5505,11008.045,11084.223,11154.9295,11221.8935,11283.274,11341.301,11396.755,11448.1365,11496.2915,11539.724,11581.184,11619.7665,11654.6695,11687.446,11717.655,11744.9875,11770.119,11794.0325,11815.0595,11834.3935,11852.5145,11869.369,11883.8105,11897.213,11909.3255,11920.5805,11930.3,11939.0335,11947.576,11954.3475,11960.681,11966.451,11971.29,11975.4685,11979.3265,11982.594,11985.6585,11988.0695,11990.2025,11992.204,11993.7105,11994.6985,11995.924,11996.751,11997.522,11998.1265,11998.544,11998.957,11999.248,11999.4815,11999.6185,11999.7475,11999.846,11999.9,11999.939,11999.9595,11999.981,11999.995,11999.997,11999.9975,12000,12000,12000,12000
6,2251.8208,2806.5982,3335.044,3837.862,4314.235,4765.7272,5195.0416,5597.386,5984.83,6348.0262,6693.0922,7021.0234,7324.6684,7616.6956,7888.1854,8149.0708,8391.1192,8620.1812,8834.968,9039.0616,9232.318,9408.4624,9575.782,9734.2468,9882.229,10018.9816,10149.5842,10270.4368,10380.688,10484.8366,10582.6288,10673.8264,10757.3416,10833.9088,10907.6266,10973.8354,11036.2738,11093.2594,11147.5138,11195.0512,11239.933,11281.327,11320.2082,11352.556,11385.0574,11413.8676,11439.8398,11464.0204,11486.6482,11505.6784,11523.5458,11539.7332,11554.1746,11567.1844,11578.438,11589.361,11598.6742,11606.8432,11614.471,11620.825,11626.6408,11631.9106,11636.1922,11640.1522,11643.3394,11646.4102,11649.1462,11651.2906,11653.2346,11654.7268,11656.1386,11657.176,11658.1684,11658.922,11659.5814,11660.131,11660.5426,11660.8798,11661.115,11661.3616,11661.5344,11661.6448,11661.7714,11661.826,11661.889,11661.9196,11661.9436,11661.964,11661.9826,11661.988,11661.9928,11661.9982,11661.9994,11662,11661.9994,11662,11662,11662,11662,11662
7,2108.3181,2745.4343,3347.7591,3910.6998,4442.7768,4942.7476,5409.2955,5850.4243,6256.7519,6640.1377,7000.9772,7337.3391,7651.8351,7944.5891,8219.4077,8474.3981,8708.4851,8930.8786,9133.9654,9327.4524,9502.4601,9668.8459,9819.7253,9959.4628,10089.0223,10206.7854,10317.2657,10420.7495,10514.2408,10600.2491,10680.8135,10750.957,10817.8511,10878.8855,10933.9713,10983.6139,11029.8286,11072.5909,11109.5103,11143.6598,11174.6824,11202.5151,11228.0175,11250.9208,11271.9327,11290.0865,11306.3783,11320.9796,11334.0213,11345.3865,11356.1686,11365.4219,11373.257,11380.2689,11386.5521,11391.6873,11396.8484,11400.8391,11404.5169,11407.5136,11410.1365,11412.3996,11414.4541,11416.0368,11417.6559,11418.7479,11419.7664,11420.6001,11421.2525,11421.8545,11422.2633,11422.6644,11422.9108,11423.1607,11423.4211,11423.5555,11423.6563,11423.7431,11423.8075,11423.881,11423.9076,11423.9419,11423.937,11423.9727,11423.979,11423.9846,11423.9979,11423.9993,11423.9972,11423.9979,11423.9979,11423.9993,11424,11424,11424,11424,11424,11424,11424,11424
8,2022.5672,2742.6744,3411.4504,4034.872,4612.8792,5151.6824,5654.9224,6117.4816,6543.2416,6940.68,7309.9096,7652.7376,7966.8768,8258.1336,8523.8928,8768.7944,8994.0416,9203.724,9394.0632,9568.4424,9730.8592,9879.7704,10013.0752,10138.0736,10247.8904,10349.912,10444.2048,10526.4496,10604.5248,10673.4096,10734.3496,10792.3824,10842.3792,10890.2488,10931.368,10967.408,11000.3992,11031.068,11057.8152,11082.5184,11102.7032,11121.4584,11138.2456,11153.0672,11166.0808,11177.248,11187.58,11196.4568,11204.1152,11210.5552,11216.5768,11221.6768,11225.9264,11229.848,11232.98,11235.7856,11238.2024,11240.264,11242.0536,11243.392,11244.5752,11245.6216,11246.412,11247.1088,11247.756,11248.2136,11248.612,11248.8872,11249.18,11249.3544,11249.5456,11249.6192,11249.7024,11249.792,11249.8592,11249.8944,11249.9232,11249.944,11249.9616,11249.9768,11249.98,11249.9872,11249.9952,11249.996,11249.9968,11249.9992,11249.9992,11249.9976,11249.9984,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250
9,1977.0088,2773.0372,3508.9195,4182.0682,4804.4065,5377.252,5903.7619,6389.2336,6827.5039,7235.5864,7603.5118,7943.1853,8255.1676,8536.7857,8794.8049,9025.8115,9237.973,9433.0048,9605.0677,9765.3496,9910.1245,10040.1889,10157.845,10262.6077,10357.9978,10442.8003,10521.0346,10587.8371,10651.6174,10707.0817,10755.0454,10799.0932,10837.6636,10871.7889,10902.4969,10930.3654,10953.3406,10974.5239,10993.0855,11009.2882,11023.6315,11035.5781,11046.586,11055.4465,11063.8435,11070.8923,11076.8863,11082.1909,11086.6828,11090.2432,11093.611,11096.4163,11098.678,11100.793,11102.4769,11103.9268,11105.1292,11105.9104,11106.5809,11107.4224,11107.9075,11108.3719,11108.6833,11109.0316,11109.1864,11109.4348,11109.5347,11109.6409,11109.7237,11109.7669,11109.8551,11109.8983,11109.9226,11109.9388,11109.9532,11109.9712,11109.9829,11109.9901,11109.9892,11109.9937,11109.9982,11109.9973,11109.9982,11110,11109.9991,11109.9982,11110,11109.9991,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
10,1953.997,2826.527,3626.125,4349.278,5007.359,5610.862,6157.9,6652.189,7102.297,7512.959,7879.678,8212.838,8513.445,8785.609,9029.544,9249.656,9448.816,9623.85,9782.946,9925.983,10051.33,10165.068,10266.704,10356.621,10435.243,10507.014,10570.089,10624.607,10673.689,10718.085,10755.557,10787.938,10816.997,10842.731,10865.401,10884.623,10901.199,10915.267,10928.416,10939.605,10948.539,10956.947,10963.807,10969.309,10974.435,10978.744,10982.509,10985.291,10988.102,10990.161,10991.856,10993.523,10994.674,10995.727,10996.587,10997.258,10997.9,10998.283,10998.666,10998.948,10999.143,10999.347,10999.548,10999.633,10999.734,10999.778,10999.873,10999.873,10999.922,10999.939,10999.973,10999.96,10999.985,10999.981,10999.994,10999.994,10999.996,10999.996,10999.999,11000,10999.999,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
11,1955.3893,2900.407,3754.7418,4526.0948,5218.1158,5847.9461,6405.931,6913.1058,7362.8463,7765.4639,8130.9719,8454.3158,8747.1677,9002.4447,9232.315,9437.7565,9617.0862,9777.9194,9924.0093,10048.328,10159.0067,10256.7263,10342.4427,10419.0808,10484.5858,10542.5085,10593.6508,10637.7014,10675.5227,10711.012,10738.6869,10763.7768,10785.6151,10804.8651,10820.2794,10834.2912,10845.6476,10855.5894,10864.2772,10871.6824,10877.75,10882.766,10887.342,10891.0259,10893.8837,10896.6645,10898.9162,10900.5123,10901.8631,10902.9785,10904.0752,10904.8903,10905.4535,10906.009,10906.4061,10906.768,10907.0254,10907.2806,10907.428,10907.5655,10907.6865,10907.7338,10907.8196,10907.8636,10907.8922,10907.9362,10907.9571,10907.9648,10907.9714,10907.9879,10907.9868,10907.9923,10907.9934,10907.9989,10907.9967,10908,10907.9989,10907.9989,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908
