"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
25,2580.25,4343.25,5716.25,6822.75,7628.25,8267,8760.75,9175.75,9479.75,9659.25,9848.75,10004.5,10094.5,10158,10240.75,10270.75,10303,10326.75,10358.75,10360.25,10375,10376.25,10384.75,10387.75,10391,10395.5,10396.25,10398.25,10398,10398.75,10399.25,10399,10398.5,10399.75,10400,10399.75,10399.75,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400
26,2645.74,4468.86,5841.14,6876.46,7695.46,8339.48,8873.52,9221.66,9495.7,9703.96,9865.68,10003.74,10103.32,10172.74,10218.5,10263.48,10294.16,10308.2,10321.72,10330.82,10345.38,10351.1,10359.16,10362.28,10361.76,10365.14,10365.92,10365.14,10366.96,10366.96,10367.74,10367.74,10367.74,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368,10368
27,2768.41,4530.7,5948.2,7070.86,7850.35,8456.23,8971.39,9296.47,9574.03,9766,9926.11,10046.26,10123.48,10196.11,10242.82,10263.07,10289.8,10315.45,10321.12,10334.35,10344.88,10346.23,10349.74,10352.98,10354.06,10355.41,10358.92,10359.19,10358.92,10359.73,10360,10359.46,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360,10360
28,2802.8,4732.84,6036.52,7183.4,7961.24,8611.68,9030.84,9369.36,9626.68,9843.96,9971.92,10069.92,10146.08,10205.16,10237.64,10270.12,10300.36,10315.76,10326.12,10335.92,10340.68,10341.24,10346.56,10348.52,10349.92,10351.04,10351.6,10352.16,10353,10352.44,10352.72,10353,10352.72,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353,10353
29,2818.57,4762.15,6161.4,7225.12,8091.93,8667.58,9130.71,9424.77,9669.24,9846.14,9981.28,10075.24,10141.07,10190.95,10236.19,10260.84,10279.4,10289.55,10299.99,10304.92,10304.92,10315.36,10315.07,10315.94,10316.52,10317.39,10319.13,10318.55,10318.26,10319.71,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320,10320
30,2979,4850.1,6359.7,7362.9,8193.9,8748.3,9195,9517.5,9750.9,9906.9,10020,10087.2,10152.9,10221.6,10258.5,10272.9,10286.7,10297.5,10306.8,10310.4,10313.1,10317.6,10320.3,10319.4,10320.6,10320.9,10322.1,10322.1,10322.7,10322.7,10323,10323,10323,10322.7,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323,10323
31,2948.63,4942.24,6404.2,7482.07,8206.54,8790.89,9254.96,9554.73,9759.64,9913.09,10046.7,10110.25,10164.5,10203.87,10236.73,10258.74,10274.86,10281.68,10290.05,10290.98,10297.18,10298.73,10301.83,10302.45,10301.83,10303.38,10303.38,10303.69,10304,10303.69,10304,10303.69,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304,10304
32,3072.64,5050.24,6500.48,7530.88,8382.08,8937.92,9298.88,9589.12,9797.44,9955.52,10049.28,10127.36,10184.64,10206.72,10240.64,10258.88,10269.12,10280.64,10283.2,10287.04,10289.28,10293.12,10291.52,10294.72,10295.36,10295.04,10296,10295.36,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296
33,3094.8,5100.21,6642.96,7642.53,8441.13,9006.09,9363.81,9678.63,9837.03,9988.17,10102.02,10156.14,10205.97,10224.45,10255.8,10272.63,10280.22,10287.48,10291.77,10298.04,10297.38,10298.7,10300.02,10300.35,10301.34,10301.67,10301.34,10302,10301.34,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302,10302
34,3179.24,5264.8,6741.42,7791,8560.42,9087.42,9455.64,9739.54,9874.86,10017.32,10097.56,10155.7,10197.86,10232.88,10251.58,10265.18,10274.02,10282.52,10284.9,10284.9,10287.62,10287.96,10286.6,10288.3,10289.66,10289.66,10288.98,10289.32,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290
