"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,2599.466,2698.31,2797.63,2891.528,2987.108,3080.974,3175.578,3267.28,3359.762,3449.498,3540.556,3627.374,3713.36,3800.564,3886.968,3973.304,4052.016,4142.152,4217.628,4298.31,4379.622,4456.608,4535.63,4615.298,4685.23,4759.57,4832.544,4906.576,4981.632,5049.934,5116.774,5187.284,5258.388,5320.1,5387.294,5449.458,5514.066,5582.124,5639.99,5698.634,5760.672,5816.498,5874.322,5933.178,5989.352,6042.336,6095.274,6149.584,6203.726,6247.652,6300.222,6350.746,6394.558,6442.28,6486.922,6531.388,6572.792,6616.46,6658.934,6698.842,6735.912,6777.586,6816.52,6851.222,6887.204,6922.974,6955.29,6988.2,7018.416,7051.56,7080.214,7107.41,7136.754,7162.286,7188.018,7211.128,7235.252,7258.386,7279.18,7301.136,7319.074,7338.82,7355.124,7371.652,7387.084,7401.81,7415.162,7428.226,7439.412,7449.878,7460.072,7467.952,7475.444,7481.91,7487.744,7491.986,7495.45,7497.972,7499.496,7500
3,1815.643,1960.918,2103.517,2243.725,2377.564,2511.751,2645.485,2772.895,2902.573,3021.769,3137.077,3258.469,3373.243,3477.868,3597.571,3703.036,3804.502,3908.557,4008.424,4106.752,4199.272,4290.553,4380.082,4472.083,4553.404,4637.722,4721.929,4798.675,4873.204,4951.261,5020.165,5092.798,5164.486,5227.609,5290.207,5351.026,5412.538,5472.187,5530.006,5586.427,5638.735,5689.855,5739.529,5787.535,5829.961,5873.782,5918.506,5962.435,6000.34,6036.127,6072.151,6107.539,6144.403,6177.709,6210.835,6236.614,6265.384,6293.698,6318.514,6342.64,6369.616,6386.785,6410.071,6430.177,6447.118,6466.933,6484.489,6499.255,6515.536,6530.149,6542.17,6554.23,6565.81,6576.085,6586.672,6596.263,6603.394,6610.633,6617.578,6624.061,6629.38,6635.092,6639.751,6643.186,6646.807,6649.72,6652.888,6655.447,6657.418,6658.669,6660.337,6661.354,6662.158,6662.998,6663.406,6663.652,6663.853,6663.967,6663.994,6664
4,1446.268,1637.756,1826.392,2002.56,2176.488,2347.44,2511.028,2669.416,2815.392,2965.52,3115.904,3250.316,3385.648,3517.98,3643.804,3762.124,3877.548,3989.652,4101.152,4201.7,4298.028,4398.496,4495.496,4581.824,4665.384,4754.968,4834.108,4902.172,4981.856,5049.176,5114.596,5178.528,5245.752,5304.592,5357.64,5412.516,5462.312,5512.084,5557.624,5601.872,5643.396,5682.316,5719.212,5758.868,5792.044,5825.188,5856.732,5883.348,5912.172,5936.948,5963.116,5986.248,6007.164,6026.392,6043.036,6061.64,6078.52,6095.036,6108.208,6122.648,6133.704,6144.992,6156.708,6165.108,6175.696,6183.528,6190.728,6197.944,6203.832,6209.876,6214.644,6218.844,6223.584,6227.132,6229.792,6233.14,6235.588,6238.04,6240.508,6241.976,6243.516,6244.804,6245.788,6246.62,6247.548,6248.076,6248.648,6249,6249.208,6249.524,6249.724,6249.752,6249.824,6249.96,6249.988,6249.992,6250,6250,6250,6250
5,1243.82,1480.87,1710.855,1919.085,2133.06,2331.315,2519.6,2708.965,2878.935,3049.37,3204.915,3356.085,3499.915,3641.78,3783.075,3909.32,4029.165,4145.815,4255.345,4358.08,4454.4,4554.01,4648.845,4733.45,4807.45,4891.22,4960.785,5031.91,5097.25,5162.015,5221.87,5275.625,5322.3,5374.28,5417.885,5462.595,5501.02,5542.2,5577.785,5611.58,5643.05,5672.27,5699.465,5726.085,5746.525,5770.635,5790.515,5810.39,5828.535,5844.65,5858.87,5871.53,5885.365,5898.12,5906.44,5917.315,5925.64,5935.305,5942.485,5948.515,5954.55,5960.01,5965.52,5969.425,5973.39,5976.89,5980.28,5983.435,5985.67,5987.995,5989.9,5991.505,5992.8,5994.125,5994.955,5996,5996.575,5997.35,5997.735,5998.28,5998.795,5999.15,5999.225,5999.465,5999.54,5999.755,5999.815,5999.875,5999.95,5999.945,5999.985,5999.995,5999.99,6000,6000,6000,6000,6000,6000,6000
6,1124.636,1405.214,1665.956,1919.006,2156.672,2381.858,2593.682,2800.286,2995.79,3181.718,3342.716,3508.01,3667.388,3811.25,3948.776,4073.786,4199.612,4312.718,4417.28,4519.298,4614.962,4705.808,4790.426,4864.562,4942.364,5011.736,5071.7,5132.738,5186.27,5236.598,5292.944,5333.978,5377.67,5417.966,5452.646,5488.034,5518.952,5546.456,5574.404,5599.982,5619.662,5640.956,5661.89,5677.196,5692.628,5706.662,5718.164,5731.904,5742.956,5752.796,5761.382,5769.836,5777.612,5783.324,5789.672,5795.144,5799.266,5803.934,5807.612,5810.708,5813.222,5815.394,5818.058,5820.164,5821.904,5823.14,5824.46,5825.414,5826.548,5827.442,5827.988,5828.48,5829.08,5829.5,5829.878,5830.106,5830.178,5830.466,5830.538,5830.7,5830.706,5830.82,5830.892,5830.922,5830.952,5830.946,5830.982,5830.982,5830.982,5830.994,5831,5831,5831,5831,5831,5831,5831,5831,5831,5831
7,1057.035,1374.331,1678.992,1951.74,2224.929,2473.366,2705.234,2918.923,3130.218,3322.41,3500.987,3673.18,3827.005,3969.567,4111.177,4231.129,4353.629,4467.491,4569.152,4663.841,4754.155,4832.492,4909.478,4981.669,5045.243,5103.749,5156.893,5207.895,5255.53,5298.188,5341.336,5372.815,5407.759,5439.203,5466.888,5490.17,5515.447,5535.502,5555.382,5570.649,5586.546,5600.329,5614.259,5624.71,5634.804,5645.626,5653.032,5660.249,5667.585,5672.576,5678.183,5682.789,5686.695,5690.083,5692.736,5696.138,5698.686,5700.506,5702.368,5703.593,5704.818,5705.994,5707.037,5708.185,5708.675,5709.158,5710.166,5710.446,5710.775,5710.831,5711.013,5711.398,5711.559,5711.503,5711.72,5711.804,5711.874,5711.86,5711.923,5711.93,5711.951,5711.965,5711.972,5711.972,5711.986,5712,5712,5712,5711.993,5711.993,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712
8,1015.568,1372.408,1703.6,2019.264,2308.432,2571.776,2825.792,3051.728,3269.272,3474.736,3653.76,3823.12,3983.696,4128.704,4264.64,4384.448,4501.784,4598.12,4696.584,4790.512,4864.936,4937.672,5002.824,5069.216,5127.248,5172.272,5219.096,5264.664,5303.6,5340.112,5367.792,5395.528,5419.712,5443.4,5465.496,5485.608,5500.992,5516.152,5530.488,5541.512,5551.456,5561.904,5569.48,5576.184,5582.712,5589.024,5594.04,5598.296,5602.16,5605.328,5608.184,5610.888,5613.464,5614.832,5616.808,5617.816,5619.104,5620.232,5621.016,5621.848,5622.464,5623.008,5623.304,5623.376,5623.864,5624.104,5624.28,5624.504,5624.656,5624.624,5624.768,5624.752,5624.784,5624.912,5624.92,5624.944,5624.976,5624.96,5624.984,5624.984,5624.992,5625,5625,5624.992,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625,5625
9,985.047,1380.759,1758.21,2090.706,2401.44,2689.26,2949.306,3194.016,3406.803,3613.398,3794.109,3968.988,4124.769,4260.417,4390.971,4509.492,4607.502,4708.788,4798.338,4877.907,4949.043,5015.094,5071.164,5129.448,5179.002,5218.944,5256.204,5289.288,5322.228,5347.122,5371.449,5394.615,5414.541,5429.778,5444.835,5461.233,5470.881,5483.373,5490.528,5500.203,5505.639,5513.235,5518.347,5523.234,5526.636,5530.722,5533.818,5535.519,5537.805,5539.488,5541.711,5542.98,5544.537,5545.608,5545.995,5546.742,5547.282,5547.921,5548.254,5548.632,5548.884,5549.145,5549.307,5549.478,5549.532,5549.667,5549.838,5549.802,5549.82,5549.928,5549.856,5549.955,5549.991,5549.955,5549.982,5549.991,5549.982,5549.991,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550
10,977.72,1415.17,1805.03,2182.07,2506.1,2796.91,3075.63,3322.87,3547.56,3753.44,3937.3,4104,4259.9,4390.52,4517.83,4621.28,4724.88,4804.01,4886.23,4961.46,5026.59,5082.57,5135.42,5177.98,5217.02,5256.54,5283.49,5310.77,5335.44,5360.03,5376.62,5393.88,5409.04,5422.75,5431.08,5442.35,5450.71,5458.27,5463.92,5469.53,5474.42,5478.57,5482.21,5484.67,5486.54,5489.08,5490.97,5492.65,5494.29,5494.59,5496.04,5496.37,5497.17,5497.9,5498.28,5498.85,5498.84,5499.1,5499.38,5499.44,5499.7,5499.68,5499.76,5499.85,5499.81,5499.86,5499.95,5499.94,5499.96,5499.99,5499.99,5499.99,5499.98,5500,5500,5500,5500,5499.98,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
11,976.973,1453.68,1871.097,2253.27,2598.879,2927.438,3198.731,3457.33,3680.652,3880.786,4058.997,4226.109,4368.79,4498.095,4610.196,4710.021,4804.192,4884.877,4957.917,5017.405,5073.34,5120.761,5165.85,5201.083,5236.558,5263.75,5291.866,5311.38,5331.268,5349.748,5363.487,5374.487,5386.983,5396.311,5405.177,5411.755,5415.528,5420.687,5425.384,5429.806,5432.754,5435.229,5437.462,5439.09,5441.147,5442.159,5443.435,5444.172,5445.019,5445.646,5445.987,5446.218,5446.658,5447.142,5447.23,5447.362,5447.714,5447.648,5447.769,5447.747,5447.901,5447.901,5447.857,5447.945,5447.989,5447.978,5447.956,5447.989,5448,5447.989,5447.989,5447.978,5448,5448,5448,5448,5448,5447.989,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448
