"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,260.74,270.22,278.72,285.24,299.1,311.38,316.4,326.82,337.72,345.02,356.24,361.82,373.22,381.46,391.3,395.64,409.1,410.52,423.78,426.14,438.44,444.48,456,462.7,465,475.18,480.6,492.18,494.06,503.48,511.08,517.8,525.68,534.64,541.2,547.26,549.02,557.92,563.96,571.98,578.04,581.08,588.94,593.6,598,600.92,608.96,613.48,617.8,624.36,630.76,635.88,638.1,643.9,647.36,653.16,656.44,661.7,664.68,671.96,673.24,675.96,681.96,685.82,689.2,691.94,696.36,698.42,700.88,705.02,707.16,710.84,713.92,715.92,718.1,721.74,723.68,725.78,726.5,730.68,732.12,733.48,735.5,737.22,738.62,739.86,741.36,742.96,744.42,745.36,745.84,746.46,747.58,748.32,748.88,749.14,749.3,749.74,749.84,750
3,180.46,196.3,210.46,225.52,235.21,249.73,265.6,276.13,288.91,297.22,312.79,325,333.13,341.89,357.64,370.42,383.35,388.3,398.41,407.26,418.36,426.7,434.95,439.99,450.22,463.87,469.27,477.7,479.74,490.96,503.77,504.76,509.11,519.34,526.54,529.99,538.48,543.52,551.53,556.03,560.14,565.69,573.1,576.19,579.82,584.95,589.48,592.93,598.84,604.12,607.39,609.82,612.67,615.34,619.51,622.3,624.55,627.16,628.99,633.1,634.42,636.52,637.84,641.23,642.76,644.26,647.32,647.62,648.07,650.44,651.37,653.23,653.38,655.03,656.8,657.07,658.15,658.63,658.24,659.92,659.8,660.97,661.15,661.57,662.32,662.47,662.77,662.86,663.25,663.7,663.64,663.82,663.7,663.94,663.94,663.97,663.97,664,664,664
4,146.16,165.08,183.84,197.84,218.68,230.2,254.72,264.68,278.92,301.24,305.84,327.72,340.04,354.16,361.76,375.16,386.12,396.76,408.2,420.04,427,442,449.12,456.88,466.16,482.52,481.52,490.44,499.72,508.6,512.08,517.08,522.6,527.72,533.16,543.52,547.96,547.68,554.4,560.72,565.4,567.68,570.96,577.8,576.52,582.8,587.2,589.28,589.72,592.36,597.6,600.12,600.04,600.44,604.64,605.44,606.72,609.6,609.48,612.4,613.96,614.8,614.76,615.8,617.52,618.12,619.12,619.8,620.8,621.4,621.2,621.36,622.28,622.88,622.88,623.24,623.32,623.52,624,623.92,624.52,624.28,624.56,624.64,624.64,624.92,624.84,624.76,624.88,624.88,625,625,625,624.96,625,625,625,625,625,625
5,122.8,148.75,167.2,196.3,213.8,234.4,251.7,270,287.1,302.85,314.7,335.25,348.2,364.75,375.9,390.8,406.15,415.1,428.35,436.9,445.15,455.1,466.3,469.6,481.15,488.45,493,505.1,508.4,513.8,522.5,524.95,535.35,536.8,543.25,544.35,545.1,550.25,560.65,559.7,563.9,566.75,567.95,570.15,572.55,576.15,578.25,578.9,581.7,582.7,585,587.05,588.25,590.6,590,592.2,591.9,593.9,594.8,594.7,594.1,595.15,596.25,597.6,596.9,597.65,598.2,598.65,598.75,598.9,599.05,599,599.2,599.45,599.4,599.5,599.8,599.5,599.65,599.85,599.9,599.9,600,600,599.85,599.95,599.95,600,600,600,600,600,600,600,600,600,600,600,600,600
6,114.68,139.46,167.48,194.3,219.74,240.62,260.72,274.7,301.46,322.64,335,349.7,362.9,378.62,385.58,401.72,412.7,425.48,435.56,448.28,461.42,471.98,479.3,485.66,492.26,503.42,501.74,511.4,518.18,521.66,524.48,534.86,535.34,541.28,541.94,546.44,548.42,552.92,555.14,556.16,560.42,562.88,563.36,566.72,568.04,568.58,569,571.16,570.86,572.84,574.82,574.52,575.78,576.44,576.74,577.58,577.76,577.64,578.84,578.12,578.9,579.8,579.56,580.28,580.04,580.04,580.1,580.34,580.58,580.46,580.52,580.82,580.64,580.76,580.76,581,580.94,580.94,580.76,581,581,581,581,580.94,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581
7,101.17,137.29,162,193.85,221.29,242.22,267.98,288.63,310.54,328.95,344.28,360.17,382.29,394.61,408.26,421.28,436.82,438.29,452.99,463.35,466.5,482.95,487.85,493.8,499.26,507.1,513.96,518.72,522.64,524.74,529.92,534.75,537.62,539.72,543.43,546.23,549.38,548.82,552.18,553.37,556.59,557.99,557.57,558.62,560.16,559.95,562.4,563.8,563.87,564.43,564.64,564.5,565.76,565.55,566.32,566.11,566.25,566.53,566.81,567.37,566.88,567.37,567.23,567.44,567.86,567.65,567.86,567.65,567.72,568,567.93,568,567.86,568,568,568,567.93,567.93,568,568,567.93,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568
8,102.24,136.88,167.12,196.4,233.2,256.72,276.64,298.96,320.56,344.56,363.76,377.12,396.4,409.36,419.36,433.84,439.84,453.76,464.4,473.84,482.08,489.84,495.52,502.64,506.56,513.28,516.32,521.76,525.44,527.92,531.36,533.44,536.96,539.12,539.44,542.96,544.48,546.88,547.2,548.96,549.44,551.12,552,553.68,553.28,554.48,554.32,554.8,556,556.08,556.56,556.64,556.72,557.2,557.12,557.12,557.76,557.44,557.6,557.52,557.76,557.76,558,557.68,557.84,557.68,557.92,557.92,557.92,558,558,557.92,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558
9,96.85,132.22,172.09,204.94,238.15,264.43,282.61,316.63,336.07,355.33,376.75,392.68,401.95,423.73,433.09,447.67,456.85,463.33,472.51,486.01,490.15,496.72,504.19,505.09,507.88,518.14,522.28,523.09,527.14,529.39,531.91,534.79,535.87,537.31,539.29,540.28,543.43,542.08,543.61,543.43,544.6,545.68,547.39,547.57,548.29,548.38,548.65,548.65,549.1,549.1,549.37,549.64,549.1,549.73,549.73,549.64,549.82,549.91,549.91,550,549.91,549.91,550,549.82,549.91,549.91,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
10,96.8,143.2,177,226.9,244.2,275.5,304.7,331.6,351.9,374.7,391.1,400.5,426.2,434.4,447.5,461.5,470.5,479.8,483.4,499.4,496.5,505.1,514.3,516.5,521.2,526.2,530,529.7,532.1,533.3,537.3,538.3,539,542.3,542.2,544,544.5,546.3,546.9,547.3,547.7,547.9,547,548,548.6,549,549.2,549.7,549.4,549.2,549.8,549.7,549.7,549.6,549.4,550,549.8,550,550,549.8,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
11,89.55,147.85,187.23,227.16,258.4,285.24,318.24,333.31,357.4,381.71,399.53,422.96,426.7,447.05,452.99,466.3,478.95,479.61,484.89,496.33,497.1,506.78,510.85,512.28,518.11,520.97,524.16,526.36,526.14,529.44,531.53,532.85,532.3,535.27,536.26,535.16,536.7,537.25,537.25,537.91,538.13,539.23,538.79,539.01,539.12,539.45,539.78,539.78,539.56,539.78,539.78,540,539.56,540,540,539.89,540,540,540,539.89,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
