"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,52.0148,53.9254,55.8818,57.8266,59.7298,61.6618,63.277,65.3406,67.086,68.9564,70.6474,72.5062,74.1112,75.9108,77.6192,79.2832,80.9266,82.6188,84.2776,85.8328,87.474,89.0416,90.6576,91.9832,93.7332,95.0712,96.4228,97.8716,99.387,100.7966,102.262,103.5704,104.887,106.3478,107.46,108.8664,110.0602,111.4184,112.617,113.6998,115.0996,116.127,117.331,118.316,119.3922,120.5292,121.706,122.7436,123.8972,124.7226,125.7472,126.7134,127.7006,128.6054,129.3804,130.3698,131.2622,132.103,132.896,133.8204,134.6708,135.287,136.0756,136.8136,137.4768,138.256,138.9178,139.5228,140.1888,140.8202,141.3842,141.9734,142.4986,143.048,143.566,144.1004,144.5282,144.9588,145.4884,145.8574,146.2662,146.6532,146.902,147.317,147.6058,147.9398,148.208,148.4618,148.711,148.889,149.0938,149.2744,149.4418,149.6002,149.7076,149.8034,149.8752,149.9438,149.9822,150
3,35.9223,38.6988,41.5467,44.4354,46.8414,49.6065,52.2246,54.7611,57.273,59.5161,61.9128,64.3371,66.4218,68.8536,70.8858,73.1085,75.1563,77.055,79.1415,80.8392,82.6095,84.5337,86.5833,88.044,89.9688,91.5081,93.0321,94.6275,96.3327,97.5747,99.0096,100.4721,101.7837,103.2912,104.3418,105.5316,106.8048,107.9076,109.0464,110.1498,111.252,112.245,113.2812,114.3171,115.2162,116.1081,116.9706,117.6675,118.4625,119.2617,119.9319,120.7749,121.377,122.0241,122.5608,123.1494,123.7923,124.3521,124.9662,125.3241,125.8722,126.3021,126.7818,127.1586,127.5582,127.8336,128.2641,128.6034,128.8356,129.1287,129.4086,129.6684,129.8754,130.0881,130.2606,130.518,130.6551,130.8057,131.0031,131.112,131.247,131.3376,131.4306,131.5086,131.6118,131.6682,131.7177,131.8056,131.8389,131.8698,131.901,131.9307,131.9478,131.9688,131.9778,131.9883,131.994,131.9991,131.9988,132
4,28.9004,32.6196,36.116,39.9004,43.422,46.7472,49.9444,53.0524,56.1608,58.8472,61.7624,64.5404,67.278,69.9416,72.3912,74.8328,77.0664,79.392,81.344,83.2724,85.442,87.3568,89.1392,91.2476,92.6916,94.1664,96.1348,97.352,99.192,100.3348,101.7052,103.0916,104.152,105.4036,106.4444,107.5868,108.7784,109.5732,110.5772,111.5256,112.322,113.1616,114.1808,114.7116,115.3488,116.13,116.7236,117.2956,117.9032,118.476,118.844,119.3332,119.7864,120.206,120.6052,120.9112,121.2896,121.616,121.8884,122.2256,122.4684,122.7264,122.9892,123.1456,123.3832,123.5336,123.664,123.7956,123.9404,124.0816,124.1884,124.2776,124.4024,124.4628,124.5436,124.6096,124.6548,124.6988,124.7444,124.7872,124.8284,124.8636,124.8892,124.922,124.9288,124.9456,124.9596,124.9724,124.9792,124.9884,124.9872,124.9932,124.9956,124.9972,124.9992,124.9984,124.9996,125,125,125
5,24.717,29.542,33.869,37.9905,42.547,46.0025,49.9845,53.7145,57.235,60.474,63.3675,66.6835,69.454,71.9775,74.91,77.4085,79.8495,82.1075,84.6005,86.521,88.409,90.255,92.2275,93.9045,95.335,97.042,98.538,100.0125,101.266,102.5335,103.79,104.6915,105.705,106.916,107.7675,108.657,109.552,110.5125,111.002,111.587,112.423,112.9705,113.556,113.984,114.4865,114.975,115.5095,115.816,116.3125,116.5515,116.8925,117.176,117.4105,117.661,117.891,118.135,118.337,118.494,118.701,118.8105,118.9395,119.0765,119.2095,119.262,119.3825,119.437,119.5375,119.5515,119.6725,119.694,119.739,119.7845,119.8095,119.8425,119.863,119.8955,119.9115,119.927,119.9475,119.9495,119.9615,119.97,119.978,119.9865,119.9915,119.992,119.993,119.9965,119.9965,119.9985,119.997,119.999,120,120,120,119.9995,120,120,120,120
6,21.409,26.7094,31.648,36.4006,40.7788,44.884,49.2898,52.915,56.7196,59.9566,63.2122,66.2986,69.4516,72.316,74.9554,76.9768,79.5574,82.0102,83.9926,86.1874,87.811,89.6458,91.084,92.656,94.048,95.1226,96.7726,97.9618,99.0286,99.9916,100.7434,101.9296,102.6562,103.4038,104.1622,104.8,105.4762,106.0156,106.543,107.0176,107.5534,107.9464,108.343,108.6994,108.9856,109.3228,109.5052,109.9186,110.0992,110.2012,110.4706,110.6266,110.7622,110.9164,111.0676,111.1462,111.3184,111.3664,111.4336,111.5062,111.5938,111.61,111.667,111.7552,111.754,111.7906,111.841,111.862,111.8824,111.9058,111.9268,111.9382,111.9508,111.9562,111.9664,111.97,111.9868,111.979,111.9886,111.9874,111.9934,111.9928,111.9952,111.997,111.997,111.9994,112,111.9982,112,112,112,112,112,112,112,112,112,112,112,112
7,20.5576,26.7134,32.4037,37.6796,42.644,47.7078,52.2032,56.3087,60.2287,64.1592,67.4891,70.6895,73.7863,77.0826,79.3555,81.5962,84.2737,86.3492,88.4051,90.4176,92.0108,93.6999,95.1174,96.6112,97.9972,99.421,100.2687,101.2417,102.2546,103.3193,104.0144,104.7242,105.4781,105.9009,106.7374,107.1448,107.6173,108.1808,108.5084,108.8311,109.1188,109.508,109.8258,110.0141,110.2255,110.453,110.6392,110.8198,110.9598,111.0522,111.1544,111.2671,111.3434,111.4813,111.5233,111.5947,111.6556,111.72,111.7354,111.804,111.839,111.8488,111.8663,111.8901,111.9069,111.9251,111.9328,111.944,111.9692,111.9713,111.9769,111.9825,111.9846,111.9846,111.9902,111.9909,111.9909,111.9951,111.9979,111.9972,111.9986,111.9972,112,111.9986,111.9993,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
8,19.1864,25.9768,32.1776,37.8704,43.4312,48.6144,53.1616,57.2984,61.708,65.1688,68.8504,72.0576,75.4088,77.7224,80.6896,82.9632,85.2688,87.2024,89.1808,90.7208,92.4128,93.828,95.1048,96.3176,97.6104,98.5968,99.3456,100.3112,101.1552,101.7472,102.368,103.0408,103.5256,103.9968,104.536,104.8088,105.1624,105.4496,105.78,106.0752,106.404,106.4824,106.64,106.8744,107.008,107.188,107.284,107.368,107.408,107.532,107.5776,107.6544,107.688,107.736,107.7872,107.8144,107.8464,107.868,107.8856,107.9048,107.9144,107.9416,107.9528,107.9592,107.9648,107.9776,107.98,107.9784,107.9864,107.992,107.9944,107.9928,107.9936,107.9968,107.9968,107.9984,107.9976,107.9992,107.9992,108,107.9992,108,108,108,107.9992,108,108,107.9992,108,108,108,108,108,108,108,108,108,108,108,108
9,19.2161,26.7509,34.2614,40.4795,46.622,51.662,57.0368,61.8401,66.2798,70.4909,73.8236,77.2229,80.1281,82.9874,85.583,87.9833,90.1343,92.0972,93.8864,95.438,96.9545,98.2586,99.5933,100.5185,101.6183,102.5957,103.367,104.1932,104.681,105.3038,105.923,106.3973,106.7474,107.1101,107.5745,107.7797,108.1316,108.2909,108.5501,108.731,108.8975,109.046,109.208,109.3736,109.3736,109.4834,109.5608,109.64,109.712,109.7102,109.7534,109.8056,109.8578,109.856,109.8893,109.9082,109.9199,109.9325,109.946,109.9604,109.964,109.9748,109.9748,109.9829,109.9865,109.9892,109.9892,109.9937,109.9955,109.9946,109.9973,109.9982,109.9991,109.9946,110,109.9982,110,109.9991,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
10,19.001,27.694,35.061,42.334,48.477,54.297,59.94,65.204,69.508,73.746,77.248,80.299,83.852,86.155,88.931,90.896,93.114,94.922,96.465,98.04,99.387,100.506,101.598,102.643,103.308,104.381,105.029,105.644,106.105,106.564,107.105,107.398,107.731,108.012,108.354,108.516,108.756,108.871,109.047,109.203,109.325,109.427,109.511,109.558,109.662,109.705,109.747,109.78,109.831,109.853,109.876,109.884,109.924,109.923,109.942,109.946,109.966,109.971,109.977,109.98,109.988,109.99,109.993,109.997,109.995,109.996,110,109.997,109.998,109.999,109.998,110,110,110,110,110,109.999,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
11,19.0188,27.9299,35.9896,43.562,50.0003,56.4595,61.393,66.7313,70.831,75.0693,78.5574,81.875,84.7185,87.5664,89.8313,91.9334,93.9442,95.4523,97.0484,98.4476,99.6147,100.5563,101.4627,102.3119,103.1908,103.7001,104.2006,104.6956,105.25,105.5932,105.8363,106.317,106.4094,106.6459,106.9044,106.9935,107.1706,107.3191,107.3774,107.4555,107.5545,107.6227,107.7041,107.7239,107.7558,107.8097,107.8449,107.8614,107.8922,107.9175,107.9274,107.9582,107.9516,107.9692,107.9725,107.9813,107.9846,107.9923,107.9912,107.989,107.9989,107.9967,107.9967,107.9989,107.9978,107.9978,108,107.9967,107.9989,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
