"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,259.9154,269.7518,279.4804,289.1376,298.8182,308.0768,317.4412,326.6582,336.0344,344.6548,353.64,362.7198,371.2108,379.988,388.6174,396.9584,405.466,413.9234,421.5082,429.635,437.728,445.5832,452.7118,461.059,468.6768,475.923,483.2664,490.613,497.9888,504.6638,511.7156,518.674,525.459,531.834,538.378,545.0884,551.1708,557.7238,563.9752,569.4594,575.8364,581.4356,587.0554,593.2044,598.3974,603.841,609.2428,614.7492,619.6542,624.6874,629.7602,634.3876,639.4242,643.9126,648.9176,653.093,657.381,661.429,665.6572,669.6388,673.4306,677.7204,681.1798,684.9538,688.4914,691.6786,695.3358,698.6168,701.6718,704.8246,707.6592,710.797,713.3564,715.9114,718.652,721.0326,723.447,725.796,727.8126,729.8264,731.8176,733.611,735.404,736.9838,738.5558,740.0494,741.4598,742.6768,743.894,744.9744,745.867,746.7496,747.4916,748.1552,748.6956,749.182,749.5316,749.7764,749.9434,750
3,180.8407,195.1321,209.2657,223.2874,237.172,250.3177,263.3428,275.9203,288.2578,300.7231,312.8221,324.2158,335.9668,346.9192,357.8758,368.5627,378.7114,389.3593,399.2743,408.5848,417.556,427.18,436.6207,445.4131,453.8062,462.3391,469.7281,477.7033,485.4916,492.8032,499.4206,507.0964,513.7549,520.1422,526.9,533.0299,539.0671,544.6822,550.6981,556.2463,561.6181,566.5987,571.1086,576.3553,580.6987,584.962,589.2256,593.6827,597.4672,601.3816,605.0842,608.4844,612.2347,615.2461,618.3331,621.316,624.1954,626.6971,629.4919,631.771,634.2415,636.2164,638.4565,640.4116,642.4819,644.0305,645.8914,647.4925,648.8605,650.4262,651.7057,652.9366,654.1564,655.1053,656.0353,657.028,657.7441,658.6258,659.2798,659.9182,660.5596,661.0408,661.5175,661.9132,662.2933,662.5873,662.8318,663.0979,663.2941,663.4822,663.5944,663.7402,663.8053,663.8896,663.9259,663.9622,663.9868,663.9937,663.9997,664
4,144.8868,163.734,182.2704,200.1772,217.488,234.7388,250.4308,266.4388,281.4956,296.4372,310.8632,324.0636,338.0628,350.9056,363.3916,375.7616,387.1936,398.45,408.732,419.7032,429.5816,438.9732,448.5052,457.8964,465.7952,474.614,482.6992,489.8572,497.2488,504.0664,510.9432,517.7664,523.9944,529.3168,535.1872,540.6616,545.9944,550.7164,555.2716,559.55,563.6232,567.742,571.9392,575.2276,578.3248,582.1004,585.2188,588.1536,590.4468,593.2828,595.8032,598.148,600.2272,602.3712,604.2304,605.9232,607.6212,609.2076,610.6864,612.0432,613.1348,614.412,615.412,616.4188,617.2512,617.9872,618.9356,619.506,620.2772,620.8924,621.3308,621.7644,622.2356,622.6124,622.916,623.312,623.5284,623.7788,623.9888,624.1484,624.2996,624.4288,624.5532,624.6396,624.7336,624.8088,624.8524,624.8924,624.9144,624.9484,624.9664,624.9812,624.98,624.9916,624.998,624.9976,624.9996,625,625,625
5,124.4145,148.2115,170.238,192.034,212.8275,232.589,251.532,269.92,287.459,304.1915,319.453,335.285,350.0415,364.43,378.4035,389.96,401.922,413.6475,425.3455,435.0195,445.5295,454.9385,463.74,472.2415,480.3965,488.4815,495.3635,502.3805,508.9315,515.3395,521.1265,526.232,531.6665,536.6715,541.283,545.561,549.9885,553.6015,557.419,560.4475,563.6025,566.6605,569.484,572.1355,574.5355,576.7025,578.8885,580.871,582.442,583.9525,585.7075,587.075,588.3345,589.5155,590.5805,591.5445,592.557,593.3445,594.0345,594.7955,595.3765,595.9245,596.446,596.8605,597.3295,597.6765,598.0105,598.23,598.477,598.722,598.9125,599.0945,599.2455,599.359,599.484,599.569,599.652,599.6935,599.797,599.85,599.872,599.8955,599.922,599.9425,599.9585,599.9735,599.9835,599.987,599.99,599.996,599.996,599.998,599.9995,600,600,600,600,600,600,600
6,112.3118,139.5824,165.4676,190.862,214.592,236.0246,258.356,278.5058,297.233,315.7898,332.2298,348.2678,363.869,377.8226,392.2358,405.182,417.1514,428.3438,439.133,449.3066,458.7758,467.6894,476.6612,484.1414,491.306,498.4556,504.7382,510.899,516.3002,521.7518,526.7102,531.1292,535.574,539.5304,542.87,546.3632,549.317,552.2132,554.9354,557.2808,559.7366,561.5336,563.5838,565.403,566.8358,568.433,569.7044,570.788,572.0114,573.0512,573.881,574.7366,575.3654,576.1544,576.716,577.3304,577.6586,578.1206,578.4842,578.8856,579.155,579.4628,579.6662,579.8618,580.0406,580.1516,580.3022,580.4372,580.5278,580.6136,580.685,580.7186,580.781,580.8278,580.874,580.8974,580.9256,580.9244,580.9502,580.9604,580.9736,580.9796,580.9838,580.9892,580.9952,580.997,580.9958,580.997,581,581,580.9994,580.9994,580.9994,581,581,581,581,581,581,581
7,104.7729,135.9782,166.3631,194.6494,220.275,244.9899,268.0297,290.7405,309.9632,329.3161,347.0772,363.8415,379.0434,394.4476,407.3248,419.6217,431.9354,442.5222,452.6505,462.6241,471.4532,479.0748,486.8861,494.1031,500.5648,506.5722,512.1582,517.3529,522.0926,526.1015,530.1755,533.8435,537.1503,540.4536,543.0898,545.6833,547.847,550.1101,552.0169,553.5751,555.2971,556.758,557.8997,559.0694,560.1208,561.063,561.9485,562.8424,563.3184,563.9876,564.4699,565.0698,565.3239,565.7705,566.075,566.3809,566.5832,566.8366,566.9668,567.1614,567.3,567.4022,567.5205,567.5513,567.6514,567.7284,567.7921,567.8411,567.8166,567.8859,567.8957,567.9265,567.9461,567.9538,567.9692,567.9797,567.9818,567.9755,567.9937,567.9895,567.9965,567.9979,567.9979,567.9972,567.9993,567.9993,567.9993,568,568,567.9993,568,568,568,568,568,568,568,568,568,568
8,100.156,135.4032,168.736,199.2072,227.4136,255.34,279.1936,302.8328,323.588,343.788,361.0464,378.0808,393.9472,408.156,421.2152,433.3392,444.692,455.4232,464.5824,473.6264,481.4088,488.8616,495.756,502.0664,507.9728,512.3392,517.2792,521.7512,525.508,528.4384,531.8448,534.7176,537.1648,539.78,542.0576,543.484,545.1104,546.5928,548.1536,549.2872,550.4472,551.3256,552.2328,552.9864,553.6176,554.3272,554.6824,555.2496,555.5736,555.9312,556.1968,556.5144,556.7232,556.9768,557.132,557.2632,557.3856,557.4904,557.5832,557.6672,557.7192,557.76,557.8112,557.8456,557.8808,557.9072,557.928,557.9384,557.9464,557.9648,557.9736,557.9688,557.9848,557.9904,557.9912,557.9952,557.9976,557.9976,557.9984,557.9984,558,557.9984,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558
9,97.3441,136.2241,172.8676,206.0929,237.8638,265.4587,290.9746,315.6085,336.9097,357.2956,375.3496,392.0437,407.3491,421.2028,434.2987,446.1292,455.7871,465.5044,474.3883,482.3893,489.6469,496.1611,501.7789,507.0025,511.8931,516.1726,520.075,523.8091,526.7809,529.4404,531.9019,534.0772,536.1679,537.6925,539.5591,540.6229,541.8955,542.9809,543.7783,544.699,545.6116,546.0706,546.697,547.1173,547.6141,547.9354,548.2855,548.533,548.7814,548.911,549.1468,549.2188,549.3997,549.5284,549.5896,549.6733,549.7228,549.784,549.8461,549.8533,549.8848,549.91,549.9343,549.9433,549.9442,549.9721,549.9775,549.9658,549.9856,549.9865,549.9946,549.9937,549.9937,549.9955,549.9973,549.9991,549.9973,550,549.9991,550,549.9991,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
10,97.16,140.814,179.539,215.034,249.174,279.32,306.064,330.817,353.35,373.814,393.369,408.87,423.987,437.513,449.835,461.011,471.334,479.703,488.131,495.219,501.466,507.333,512.686,517.022,521.131,524.518,527.77,530.752,533.109,535.265,537.242,538.99,540.428,541.82,543.05,543.874,544.797,545.502,546.179,546.749,547.293,547.722,548.062,548.352,548.561,548.885,549.047,549.195,549.366,549.457,549.602,549.635,549.719,549.759,549.807,549.841,549.88,549.925,549.935,549.95,549.941,549.965,549.971,549.983,549.979,549.983,549.989,549.997,549.994,550,549.999,549.998,549.998,550,550,549.999,550,550,549.999,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
11,96.3898,142.6404,185.0421,222.7611,256.9546,287.9174,314.4868,339.9705,362.5689,382.7528,401.5221,417.0772,431.122,443.8248,455.63,465.3914,474.7469,482.6592,489.9676,496.066,501.7959,506.8724,511.2658,514.9442,518.3806,521.6344,523.6012,525.9882,528.1266,529.7315,531.3804,532.2681,533.6717,534.6771,535.3448,536.1797,536.7022,537.2291,537.7076,538.0563,538.4072,538.6305,538.9231,539.0749,539.2718,539.3708,539.4863,539.5864,539.6557,539.7371,539.78,539.8152,539.8581,539.9131,539.8944,539.9582,539.9505,539.9615,539.9681,539.9758,539.9824,539.9857,539.9923,539.9934,539.9934,539.9923,539.9956,539.9989,539.9967,540,539.9989,539.9989,539.9978,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
